participant_id,fase,kanal,n_rep,theta_db,theta_se,mu_db,mu_se,beta_db,beta_se,otot_db,otot_se,theta_m2b_db,theta_m2b_se,mu_m2b_db,mu_m2b_se,beta_m2b_db,beta_m2b_se,gerakan,lolos_R2
P08,Pra-Gerak,F3,4,0.958,3.007,0.308,4.396,-2.032,4.133,-2.803,4.119,1.216,0.906,0.566,0.774,-1.774,0.661,Semua,True
P08,Pra-Gerak,F4,8,-0.245,1.003,-0.511,0.699,-0.805,0.748,-1.425,0.84,0.105,0.497,-0.161,0.369,-0.455,0.518,Semua,True
P08,Pra-Gerak,F7,6,-3.133,1.613,-0.875,1.79,-2.1,0.973,-3.225,1.351,-1.355,0.77,0.903,0.751,-0.322,0.549,Semua,True
P08,Pra-Gerak,F8,12,2.682,1.403,0.496,0.991,0.311,0.77,-0.672,1.02,1.128,0.549,-1.059,0.359,-1.243,0.633,Semua,True
P08,Pra-Gerak,Fp1,7,-1.19,1.503,-1.336,1.558,-1.516,1.91,-2.627,1.936,-0.09,0.504,-0.237,1.106,-0.416,0.492,Semua,True
P08,Pra-Gerak,Fp2,12,0.189,0.73,-0.068,0.864,-0.549,0.927,-1.352,0.847,0.157,0.602,-0.1,0.445,-0.581,0.381,Semua,True
P08,Pra-Gerak,O1,8,-3.021,2.017,-3.643,1.973,-4.041,1.997,-4.825,1.957,0.182,0.851,-0.44,0.769,-0.837,0.773,Semua,True
P08,Pra-Gerak,O2,8,0.287,0.601,-0.887,0.612,-0.831,0.848,-2.054,1.029,0.527,0.5,-0.647,0.509,-0.591,0.706,Semua,True
P08,Pra-Gerak,P3,4,-6.685,1.007,-6.037,0.968,-6.95,0.835,-7.943,0.891,-0.077,0.208,0.571,0.405,-0.342,0.178,Semua,True
P08,Pra-Gerak,P4,9,1.856,1.12,-0.033,0.796,0.145,0.783,-1.298,0.574,0.904,0.564,-0.986,0.631,-0.808,0.569,Semua,True
P08,Pra-Gerak,T3,7,-2.768,2.058,-2.374,2.597,-2.507,1.962,-2.816,1.955,-0.442,0.704,-0.048,0.621,-0.181,0.436,Semua,True
P08,Pra-Gerak,T4,12,3.331,1.635,3.083,0.984,1.063,0.658,-0.106,0.738,0.632,0.731,0.384,0.372,-1.636,0.577,Semua,True
P08,Pra-Gerak,T5,6,-3.497,2.65,-5.213,2.73,-5.399,2.444,-5.811,2.713,1.002,0.639,-0.715,0.713,-0.9,0.481,Semua,True
P08,Pra-Gerak,T6,7,-1.705,1.04,-1.949,0.615,-3.845,0.739,-4.198,0.778,0.706,0.626,0.462,0.898,-1.434,0.388,Semua,True
P08,Tahan,C3,5,-0.561,2.138,-1.33,2.556,-2.163,2.33,-3.23,2.582,0.878,0.384,0.11,0.646,-0.723,0.349,Semua,True
P08,Tahan,C4,8,2.52,1.101,3.248,1.413,2.65,0.957,2.507,1.034,-0.335,0.234,0.392,0.426,-0.205,0.367,Semua,True
P08,Tahan,F3,5,-0.427,2.477,-0.985,1.806,-0.421,2.434,-0.119,2.758,0.091,0.245,-0.467,0.595,0.097,0.178,Semua,True
P08,Tahan,F4,5,5.444,1.25,6.082,1.583,5.745,1.123,5.784,1.389,-0.377,0.425,0.262,0.404,-0.076,0.493,Semua,True
P08,Tahan,F7,8,-0.723,1.228,0.077,1.287,-1.889,1.238,-2.014,1.187,0.199,0.371,0.999,0.431,-0.967,0.27,Semua,True
P08,Tahan,F8,8,6.542,1.813,6.643,1.664,4.574,0.875,3.959,0.817,0.464,0.638,0.566,0.35,-1.503,0.76,Semua,True
P08,Tahan,Fp1,7,1.768,1.142,1.371,1.02,-0.372,1.05,-0.657,1.377,1.015,0.305,0.617,0.518,-1.126,0.418,Semua,True
P08,Tahan,Fp2,11,4.432,0.77,4.804,0.735,3.604,0.635,3.249,0.596,0.267,0.3,0.639,0.143,-0.561,0.171,Semua,True
P08,Tahan,O1,10,-1.075,1.587,-1.143,1.524,-1.562,1.392,-1.582,1.46,0.2,0.308,0.132,0.266,-0.287,0.215,Semua,True
P08,Tahan,O2,8,1.928,0.852,3.607,1.013,2.916,0.789,2.473,0.944,-0.984,0.517,0.695,0.343,0.004,0.165,Semua,True
P08,Tahan,P3,4,-0.054,2.552,-0.263,2.922,-1.138,3.254,-2.134,3.767,0.428,0.702,0.219,0.476,-0.656,0.402,Semua,True
P08,Tahan,P4,8,7.361,1.751,6.299,1.901,4.948,1.559,4.121,1.576,1.061,0.52,-0.001,0.554,-1.352,0.498,Semua,True
P08,Tahan,T3,9,-0.463,1.328,0.012,1.236,0.324,1.103,0.12,1.114,-0.633,0.68,-0.159,0.309,0.154,0.259,Semua,True
P08,Tahan,T4,11,7.488,1.472,6.638,1.177,4.75,1.019,3.823,1.043,1.22,0.488,0.371,0.271,-1.518,0.294,Semua,True
P08,Tahan,T5,6,-2.323,1.522,-3.12,1.895,-2.537,1.124,-3.179,0.993,0.205,0.302,-0.592,0.646,-0.009,0.34,Semua,True
P08,Tahan,T6,7,2.862,1.413,0.737,1.058,-0.822,0.72,-1.275,0.544,1.747,0.813,-0.378,0.532,-1.938,0.715,Semua,True
P08,Tutup Mata,C3,1,-1.314,,-2.123,,-0.931,,-0.374,,-0.018,,-0.827,,0.365,,Semua,True
P08,Tutup Mata,C4,1,-4.872,,-3.236,,-4.175,,-3.802,,-0.734,,0.901,,-0.038,,Semua,True
P08,Tutup Mata,F3,1,-1.289,,-0.611,,-1.342,,-0.914,,-0.175,,0.503,,-0.228,,Semua,True
P08,Tutup Mata,F4,1,-3.683,,-2.081,,-2.838,,-2.017,,-0.8,,0.802,,0.045,,Semua,True
P08,Tutup Mata,F7,1,-0.19,,2.146,,0.512,,1.113,,-0.998,,1.337,,-0.296,,Semua,True
P08,Tutup Mata,F8,1,-0.781,,-1.032,,-1.952,,-2.297,,0.556,,0.305,,-0.615,,Semua,True
P08,Tutup Mata,Fp1,1,-0.432,,-0.235,,-0.977,,-1.162,,0.208,,0.404,,-0.338,,Semua,True
P08,Tutup Mata,Fp2,1,1.651,,2.355,,1.982,,1.582,,-0.337,,0.367,,-0.006,,Semua,True
P08,Tutup Mata,O1,1,-1.438,,-0.915,,-0.103,,0.609,,-0.872,,-0.349,,0.463,,Semua,True
P08,Tutup Mata,O2,1,-3.414,,-0.973,,-0.962,,-0.963,,-1.862,,0.579,,0.59,,Semua,True
P08,Tutup Mata,P3,1,-1.65,,-1.735,,-1.68,,-0.917,,0.002,,-0.083,,-0.027,,Semua,True
P08,Tutup Mata,P4,1,-1.52,,-2.121,,-2.525,,-2.761,,0.604,,0.002,,-0.402,,Semua,True
P08,Tutup Mata,T3,1,-1.649,,-0.956,,-0.663,,-0.69,,-0.656,,0.036,,0.329,,Semua,True
P08,Tutup Mata,T4,1,0.822,,0.174,,-0.518,,-0.562,,0.758,,0.11,,-0.582,,Semua,True
P08,Tutup Mata,T5,1,-2.06,,0.401,,-2.442,,-2.519,,-0.712,,1.75,,-1.094,,Semua,True
P08,Tutup Mata,T6,1,-3.896,,-4.438,,-6.71,,-5.851,,1.316,,0.774,,-1.498,,Semua,True
P09,Berdiri,C3,7,0.202,1.797,0.549,1.687,1.748,1.451,2.337,1.547,-0.971,0.546,-0.624,0.94,0.575,0.641,Semua,True
P09,Berdiri,C4,8,1.783,1.349,-0.047,1.129,0.006,1.26,0.182,1.283,0.675,0.516,-1.155,0.508,-1.102,0.751,Semua,True
P09,Berdiri,F3,6,-1.911,2.293,-2.418,1.811,-1.895,1.443,-1.312,1.488,-0.105,0.435,-0.612,0.475,-0.089,0.776,Semua,True
P09,Berdiri,F4,8,1.254,2.044,2.653,2.612,2.322,2.268,1.642,1.878,-0.718,0.36,0.681,0.462,0.35,0.552,Semua,True
P09,Berdiri,F7,6,2.717,0.566,3.87,0.236,0.767,1.043,0.286,0.993,0.031,0.222,1.184,0.49,-1.919,0.777,Semua,True
P09,Berdiri,F8,1,0.343,,-8.866,,-2.833,,-0.427,,1.467,,-7.741,,-1.708,,Semua,False
P09,Berdiri,Fp1,8,1.423,1.343,-0.324,0.678,1.051,0.634,0.983,0.725,-0.044,0.74,-1.791,0.647,-0.416,0.896,Semua,True
P09,Berdiri,Fp2,6,5.209,1.038,4.787,1.647,4.718,1.464,4.637,0.962,0.037,0.358,-0.385,0.819,-0.454,0.563,Semua,True
P09,Berdiri,O1,6,-0.04,2.36,1.427,1.779,0.067,1.895,0.388,1.803,-0.483,0.357,0.985,0.593,-0.375,0.726,Semua,True
P09,Berdiri,O2,7,-1.019,1.786,-0.338,1.479,0.637,1.214,0.982,1.392,-0.88,0.494,-0.199,0.309,0.777,0.69,Semua,True
P09,Berdiri,P3,7,2.311,1.999,1.953,1.065,2.622,1.01,2.648,1.27,-0.427,0.798,-0.785,1.134,-0.116,0.547,Semua,True
P09,Berdiri,P4,7,-1.156,2.037,-0.84,1.761,-0.111,1.168,0.21,1.236,-0.639,0.574,-0.323,0.315,0.406,0.808,Semua,True
P09,Berdiri,T3,7,-0.999,2.209,-1.041,1.781,-0.899,1.752,-0.107,1.756,-0.366,0.664,-0.408,0.805,-0.266,0.632,Semua,True
P09,Berdiri,T4,6,-2.377,2.181,-2.567,2.559,-1.192,1.825,-0.938,1.555,-0.426,0.324,-0.616,0.885,0.758,0.775,Semua,True
P09,Berdiri,T5,7,0.708,1.937,0.443,1.673,0.751,1.271,0.623,1.099,-0.356,0.585,-0.62,0.715,-0.312,0.982,Semua,True
P09,Berdiri,T6,4,0.435,2.139,1.063,2.163,2.251,2.077,2.629,1.792,-0.606,0.514,0.021,0.772,1.21,0.477,Semua,True
