participant_id,kind,task,rep,phase,t0,channel,ptp_uv,flat_frac,clipping,label
P08,gerak,NGEED,1.0,TAHAN,9.68,O1,20.6,0.38,False,datar
P08,gerak,NGEED,1.0,TAHAN,9.68,F7,54.0,0.18,False,datar
P08,gerak,NGEED,1.0,TAHAN,9.68,T3,30.0,0.38,False,datar
P08,gerak,NGEED,1.0,TAHAN,9.68,T5,35.2,0.0,False,ok
P08,gerak,NGEED,1.0,TAHAN,9.68,Fp2,91.7,0.0,False,ok
P08,gerak,NGEED,1.0,TAHAN,9.68,F4,53.7,0.0,False,ok
P08,gerak,NGEED,1.0,TAHAN,9.68,C4,58.8,0.0,False,ok
P08,gerak,NGEED,1.0,TAHAN,9.68,P4,41.5,0.0,False,ok
P08,gerak,NGEED,1.0,TAHAN,9.68,O2,33.7,0.0,False,ok
P08,gerak,NGEED,1.0,TAHAN,9.68,F8,58.4,0.0,False,ok
P08,gerak,NGEED,1.0,TAHAN,9.68,T4,39.7,0.0,False,ok
P08,gerak,NGEED,1.0,TAHAN,9.68,T6,33.8,0.0,False,ok
P08,gerak,NGEED,1.0,TAHAN,10.68,Fp1,79.2,0.0,False,ok
P08,gerak,NGEED,1.0,TAHAN,10.68,F3,0.4,1.0,False,datar
P08,gerak,NGEED,1.0,TAHAN,10.68,C3,20.5,0.78,False,datar
P08,gerak,NGEED,1.0,TAHAN,10.68,P3,17.2,0.78,False,datar
P08,gerak,NGEED,1.0,TAHAN,10.68,O1,7.1,0.8,False,datar
P08,gerak,NGEED,1.0,TAHAN,10.68,F7,0.4,1.0,False,datar
P08,gerak,NGEED,1.0,TAHAN,10.68,T3,0.2,1.0,False,datar
P08,gerak,NGEED,1.0,TAHAN,10.68,T5,29.0,0.0,False,ok
P08,gerak,NGEED,1.0,TAHAN,10.68,Fp2,233.5,0.0,False,ekstrem
P08,gerak,NGEED,1.0,TAHAN,10.68,F4,23.8,0.0,False,ok
P08,gerak,NGEED,1.0,TAHAN,10.68,C4,23.4,0.0,False,ok
P08,gerak,NGEED,1.0,TAHAN,10.68,P4,26.2,0.0,False,ok
P08,gerak,NGEED,1.0,TAHAN,10.68,O2,144.1,0.0,False,tinggi
P08,gerak,NGEED,1.0,TAHAN,10.68,F8,46.0,0.0,False,ok
P08,gerak,NGEED,1.0,TAHAN,10.68,T4,35.2,0.0,False,ok
P08,gerak,NGEED,1.0,TAHAN,10.68,T6,22.0,0.0,False,ok
P08,gerak,NGEED,1.0,TAHAN,11.68,Fp1,177.3,0.0,False,ekstrem
P08,gerak,NGEED,1.0,TAHAN,11.68,F3,5.1,0.82,False,datar
P08,gerak,NGEED,1.0,TAHAN,11.68,C3,0.1,1.0,False,datar
P08,gerak,NGEED,1.0,TAHAN,11.68,P3,0.1,1.0,False,datar
P08,gerak,NGEED,1.0,TAHAN,11.68,O1,88.1,0.02,False,ok
P08,gerak,NGEED,1.0,TAHAN,11.68,F7,57.8,0.42,False,datar
P08,gerak,NGEED,1.0,TAHAN,11.68,T3,57.6,0.42,False,datar
P08,gerak,NGEED,1.0,TAHAN,11.68,T5,5.8,0.98,False,datar
P08,gerak,NGEED,1.0,TAHAN,11.68,Fp2,47.7,0.0,False,ok
P08,gerak,NGEED,1.0,TAHAN,11.68,F4,5.3,0.98,False,datar
P08,gerak,NGEED,1.0,TAHAN,11.68,C4,25.3,0.18,False,datar
P08,gerak,NGEED,1.0,TAHAN,11.68,P4,17.5,0.38,False,datar
P08,gerak,NGEED,1.0,TAHAN,11.68,O2,10.7,0.58,False,datar
