participant_id,kind,task,rep,phase,a,b,dur,delta_Fp1,delta_F3,delta_C3,delta_P3,delta_O1,delta_F7,delta_T3,delta_T5,delta_Fp2,delta_F4,delta_C4,delta_P4,delta_O2,delta_F8,delta_T4,delta_T6,emg_Fp1,emg_F3,emg_C3,emg_P3,emg_O1,emg_F7,emg_T3,emg_T5,emg_Fp2,emg_F4,emg_C4,emg_P4,emg_O2,emg_F8,emg_T4,emg_T6
P09,acuan,BERDIRI RILEKS,,ACUAN,324.12,326.33,2.21,-2.64,-0.7,2.62,-6.71,-12.89,3.71,-32.74,2.44,-2.67,-2.99,-21.27,1.13,0.0,-7.94,-6.26,-11.12,-5.68,-2.03,-0.56,-14.08,-9.64,0.91,-35.06,1.53,-2.56,-0.5,-24.19,0.08,-0.15,-9.39,-1.89,-8.53
P09,acuan,BERDIRI RILEKS,,ACUAN,339.53,342.2,2.66,-0.05,0.28,0.0,0.94,-1.74,-2.26,0.0,-1.88,0.79,-5.43,-3.01,-10.13,-4.92,-33.28,0.0,-9.38,2.78,-1.57,-4.0,-1.5,-0.84,2.94,0.0,-2.79,0.02,-5.65,-0.26,-10.24,-4.81,-27.13,-0.93,-4.86
P09,acuan,BERDIRI RILEKS,,ACUAN,354.58,358.19,3.62,0.0,3.78,2.41,3.06,0.0,-2.46,0.93,-1.5,0.62,0.0,-0.08,1.62,-0.8,0.74,-1.53,3.31,1.6,0.64,-1.26,0.0,0.0,-0.11,-0.34,-1.05,1.42,0.33,0.0,0.0,0.04,-2.19,-0.4,4.93
P09,acuan,BERDIRI RILEKS,,ACUAN,370.94,376.94,6.0,-3.42,-6.72,-9.0,-5.33,-6.86,0.74,-3.1,-12.42,-0.49,-7.23,-8.92,-11.12,-7.88,-19.11,-9.75,-0.83,1.99,-4.14,-7.43,-4.04,-4.43,-0.42,-2.04,-9.62,-0.72,-7.4,-3.46,-7.68,-5.62,-13.83,-6.82,-3.23
P09,romberg,BERDIRI MATA TERTUTUP,,EC,412.39,415.99,3.6,-1.25,-0.51,-0.92,-2.35,-6.13,-2.09,-2.2,-6.61,0.11,-6.75,-1.92,-9.3,-3.44,-37.35,-4.55,-13.39,1.5,-2.69,-4.2,-2.51,-2.85,-2.73,-1.59,-7.8,1.26,-6.29,-1.95,-4.29,-3.34,-19.62,-2.07,-7.98
P31,gerak,AGEM KANAN,1.0,PRA,36.41,38.41,2.0,-1.11,-6.7,-8.7,-8.0,2.2,-3.92,-6.62,1.9,8.6,7.67,8.78,10.71,10.97,8.8,4.32,5.77,4.15,-2.39,-2.46,-6.22,0.76,3.03,-1.08,1.51,6.63,1.89,3.96,3.36,4.33,3.0,-1.25,-3.74
P31,gerak,AGEM KANAN,1.0,TURUN,38.41,42.2,3.78,2.61,-1.4,-0.48,-1.96,-0.62,0.25,0.02,4.26,13.32,13.05,10.34,11.35,13.48,11.67,6.61,6.94,3.78,-1.29,-1.01,-4.76,0.84,3.18,0.76,1.9,17.59,14.1,11.71,14.11,13.82,9.42,6.74,6.11
P31,gerak,AGEM KANAN,1.0,TAHAN,41.7,46.46,4.76,4.27,3.24,5.11,15.05,12.62,5.14,8.5,15.25,11.28,11.95,10.21,12.24,12.47,9.73,5.89,8.82,5.4,3.46,6.48,3.07,7.98,10.52,10.7,13.41,9.59,8.24,4.98,7.88,8.59,7.11,5.28,5.07
P31,gerak,AGEM KANAN,1.0,NAIK,45.96,48.62,2.66,3.61,6.93,6.55,18.54,7.82,-0.11,10.2,12.28,14.48,14.66,10.13,14.98,13.66,10.32,7.86,5.1,1.91,2.53,3.23,6.46,2.77,6.24,1.77,8.11,17.02,14.3,10.12,14.34,12.7,8.84,6.84,8.83
P31,gerak,AGEM KANAN,1.0,POST,49.12,50.62,1.5,3.37,5.43,5.54,6.85,12.1,2.74,6.89,12.76,15.31,14.91,10.58,9.93,10.89,11.28,4.5,7.66,5.15,4.46,3.7,3.9,6.5,5.04,3.36,5.38,11.08,10.1,7.6,9.46,11.11,6.12,6.71,3.56
P31,gerak,AGEM KANAN,2.0,PRA,52.4,54.4,2.0,4.83,-3.95,-1.12,-1.52,12.07,4.45,-2.57,10.27,5.34,3.17,-0.65,11.68,8.18,3.32,-1.92,4.76,9.08,1.82,0.58,0.11,6.97,10.61,3.96,7.02,9.46,5.47,5.72,9.25,11.78,9.42,3.65,4.64
P31,gerak,AGEM KANAN,2.0,TURUN,54.4,58.31,3.91,15.1,12.44,14.22,15.67,16.56,15.08,14.11,19.2,14.01,13.03,9.79,12.88,15.79,10.07,8.44,8.42,9.33,6.57,6.92,5.35,8.54,10.31,6.46,8.38,17.3,13.69,10.83,12.66,17.12,12.28,8.56,7.08
P31,gerak,AGEM KANAN,2.0,TAHAN,57.81,62.55,4.74,3.42,8.77,4.66,8.98,9.99,3.68,1.53,14.6,15.56,15.2,10.58,11.9,14.06,11.6,7.16,6.49,6.39,5.12,3.46,4.06,6.09,8.2,3.78,9.06,12.67,9.45,7.11,8.43,11.78,9.27,5.56,7.51
P31,gerak,AGEM KANAN,2.0,NAIK,62.05,63.4,1.36,-0.44,4.4,-6.28,9.52,1.6,-0.92,0.38,9.17,11.61,6.15,2.51,6.88,10.98,6.99,4.04,-1.77,8.86,5.87,4.37,5.66,7.9,10.54,6.48,6.38,13.3,9.03,6.56,10.0,15.14,10.74,2.11,2.7
P31,gerak,AGEM KANAN,2.0,POST,63.9,65.4,1.5,6.68,-6.99,-4.32,-0.71,9.75,11.96,-2.71,8.73,10.73,9.52,7.91,10.74,17.19,11.49,4.73,2.08,6.13,-18.72,-18.49,-20.7,2.94,9.32,-15.04,6.15,13.74,7.96,8.32,12.46,18.18,10.56,8.56,8.64
P31,gerak,AGEM KIRI,1.0,PRA,67.82,69.82,2.0,-5.96,-4.71,-3.25,-0.77,-0.12,-5.2,-5.83,0.66,-8.01,-8.44,-10.4,-10.99,-14.27,-8.13,-7.46,-11.76,0.81,-0.35,-1.86,-0.15,0.4,0.59,-0.94,0.13,0.34,-2.9,-2.19,-4.45,-4.84,-3.1,-3.99,-6.21
P31,gerak,AGEM KIRI,1.0,TURUN,69.82,74.08,4.26,16.35,15.38,15.05,18.29,18.04,15.74,16.43,18.0,15.4,12.89,8.95,14.12,17.11,11.78,6.53,9.68,8.97,6.28,5.0,4.02,10.91,10.99,5.25,9.8,14.01,10.1,6.61,9.92,13.5,8.96,6.97,5.55
P31,gerak,AGEM KIRI,1.0,TAHAN,73.58,82.54,8.96,2.18,-2.59,-6.1,-0.69,3.4,3.95,-3.74,7.12,3.91,1.97,3.14,9.41,9.21,4.84,1.72,2.89,5.22,0.92,-1.88,-0.36,2.23,5.75,-1.35,3.18,3.2,0.31,-0.71,4.28,5.87,3.11,3.83,2.65
P31,gerak,AGEM KIRI,1.0,NAIK,82.04,84.17,2.13,2.47,-3.16,1.26,-0.21,9.7,1.88,4.51,7.86,8.87,5.41,3.67,7.16,12.52,6.29,2.0,3.31,6.25,-0.01,-1.1,0.5,6.85,5.24,2.44,3.71,17.96,11.45,11.03,13.51,18.67,12.58,8.45,9.05
P31,gerak,AGEM KIRI,1.0,POST,84.67,86.17,1.5,10.02,-15.54,-8.31,-20.48,9.93,7.49,-12.99,12.22,15.09,11.31,7.59,14.72,17.43,9.08,3.83,8.2,5.67,-14.15,-5.95,-15.59,7.17,5.77,-7.59,4.75,15.92,12.36,7.86,16.16,19.52,13.07,8.57,6.77
P31,gerak,AGEM KIRI,2.0,PRA,84.47,86.47,2.0,8.66,-10.6,-7.13,-20.72,8.93,7.2,-7.71,11.68,15.1,11.72,7.91,16.03,17.27,11.19,5.74,7.46,6.04,-9.75,-4.33,-15.9,7.03,5.3,-4.86,4.95,16.84,12.11,9.36,16.16,19.1,12.13,8.42,8.51
P31,gerak,AGEM KIRI,2.0,TURUN,86.47,89.17,2.7,8.99,10.05,9.51,12.03,3.51,6.0,8.53,11.74,15.41,16.8,13.13,13.2,16.96,11.68,9.49,7.93,3.91,-3.09,-0.66,-5.93,3.59,5.07,1.84,5.61,15.57,11.64,9.35,12.32,14.71,11.86,9.53,8.93
P31,gerak,AGEM KIRI,2.0,TAHAN,88.67,94.35,5.68,2.29,1.98,3.0,4.74,9.26,2.78,3.96,8.33,5.07,6.42,3.12,4.71,7.35,5.03,-1.23,2.78,3.1,0.95,-0.37,1.14,4.36,3.12,1.56,2.22,6.76,2.79,1.49,-0.39,5.16,5.83,2.01,1.68
P31,gerak,AGEM KIRI,2.0,NAIK,93.85,95.55,1.7,8.36,-0.54,4.17,-4.92,11.3,9.55,1.15,11.13,15.57,13.29,9.67,13.48,18.18,12.62,5.72,5.85,5.85,-2.74,0.78,-6.61,9.55,6.86,0.7,10.62,14.63,10.59,6.47,8.81,11.92,13.46,7.92,7.27
P31,gerak,AGEM KIRI,2.0,POST,96.05,97.55,1.5,6.28,-4.75,6.34,-10.12,5.57,7.73,3.78,9.52,8.53,5.65,5.78,8.42,11.84,10.14,1.1,1.54,4.63,-3.66,-0.24,-5.49,2.77,3.48,-0.14,2.92,9.74,2.91,4.0,6.51,9.62,4.49,1.11,-0.62
P31,gerak,NGEED,3.0,PRA,277.62,279.62,2.0,4.04,-314.78,-3.98,-130.63,-8.11,1.69,-10.17,-39.01,0.37,-5.57,-7.99,-8.8,-3.21,-73.63,-21.08,-15.58,-2.11,-306.33,-1.94,-157.56,-7.21,0.17,-3.98,-39.74,-5.31,-7.24,-5.56,-12.21,-2.2,-86.09,-15.6,-13.58
P31,gerak,NGEED,3.0,TURUN,279.62,282.58,2.97,3.76,-54.45,6.48,-124.93,1.47,2.27,-4.27,-1.03,0.41,2.06,-1.39,3.45,3.02,-5.12,-3.12,-3.84,-0.53,-59.93,1.33,-155.3,0.95,-1.83,-4.19,-1.39,-0.24,1.98,1.17,-2.19,0.92,-1.36,-3.94,-3.24
P31,gerak,NGEED,3.0,TAHAN,282.08,285.5,3.42,2.53,-5.38,0.58,-18.77,1.34,0.28,6.57,1.21,6.52,7.32,4.84,6.51,7.61,4.54,2.86,2.22,1.44,-5.76,-1.82,-20.85,2.66,-0.3,2.37,1.72,2.19,2.66,3.1,-1.28,5.01,3.68,2.03,-3.75
P31,gerak,NGEED,3.0,NAIK,285.0,287.03,2.03,-1.16,8.63,11.18,10.86,9.24,-1.25,7.37,7.98,10.28,11.85,8.34,13.99,9.94,10.29,7.17,6.32,1.66,3.26,2.73,3.89,1.44,1.31,4.87,3.2,11.09,6.54,6.4,8.17,13.7,6.83,6.84,3.06
P31,gerak,NGEED,3.0,POST,287.53,289.03,1.5,4.77,4.02,7.45,6.41,3.85,2.7,4.45,1.93,11.47,11.77,8.76,8.67,9.45,8.5,5.36,3.42,0.37,4.64,5.02,1.32,-1.35,-1.0,5.07,-0.96,9.17,8.05,5.52,7.25,6.87,5.18,5.29,4.44
P31,gerak,NGEED,4.0,PRA,293.13,295.13,2.0,3.04,-9.99,-1.29,-22.9,1.06,1.02,-8.16,-1.64,2.01,2.85,0.49,4.46,4.07,-0.75,-2.19,-5.66,1.03,-10.54,-0.49,-18.61,-0.98,-0.34,-7.94,-1.59,6.84,3.88,1.78,3.72,4.16,-0.41,1.65,2.47
P31,gerak,NGEED,4.0,TURUN,295.13,297.61,2.48,5.79,-37.98,2.0,-94.48,2.19,3.13,-15.54,-4.26,9.48,7.25,4.34,8.57,7.06,2.05,4.38,-1.66,-1.37,-26.92,3.11,-132.22,-1.17,-2.11,-8.37,-1.98,5.18,2.26,-0.71,0.99,1.68,-2.25,1.53,1.34
P31,gerak,NGEED,4.0,TAHAN,297.11,301.21,4.1,5.16,-8.03,1.12,-30.82,2.58,3.01,-4.53,-4.05,11.03,11.42,6.5,10.99,13.77,8.07,7.28,7.24,1.27,-8.68,-0.24,-28.43,-1.13,1.43,0.06,-3.09,10.33,8.28,6.97,7.26,10.74,8.84,5.34,5.41
P31,gerak,NGEED,4.0,NAIK,300.71,302.96,2.25,3.67,-26.33,-2.83,-88.33,-16.66,0.94,-9.54,-36.01,6.27,3.05,0.4,6.96,4.29,-1.01,4.63,4.41,0.88,-26.01,-2.62,-108.18,-19.81,2.49,-8.15,-23.73,6.77,0.68,2.27,5.57,6.8,0.32,3.75,2.11
P31,gerak,NGEED,4.0,POST,303.46,304.96,1.5,-13.22,-70.89,-2.05,-300.46,-98.68,-1.07,-66.62,-312.5,-1.75,-1.85,-4.34,4.45,-4.21,-6.69,1.08,7.69,-8.44,-99.48,-0.11,-300.87,-121.5,-1.13,-85.4,-302.45,-3.34,-15.65,-2.1,3.47,-7.7,-3.64,1.99,1.4
P31,gerak,AGEM KANAN,3.0,PRA,309.38,311.38,2.0,-58.02,-2.83,-0.28,-0.71,-12.22,-64.55,-5.48,-6.62,-59.41,-15.48,-6.69,-65.27,-58.07,-10.56,-5.55,-7.31,-88.21,0.66,0.82,0.62,-14.39,-90.18,0.01,-6.44,-71.2,-16.48,-5.45,-82.41,-74.05,-6.86,-7.01,-6.43
P31,gerak,AGEM KANAN,3.0,TURUN,311.38,314.14,2.76,-0.36,4.48,6.29,8.04,-0.73,-1.25,5.46,-2.2,3.47,7.72,5.31,6.67,0.22,1.92,-0.96,2.11,-2.59,3.46,1.67,3.34,-2.25,-2.96,1.65,-0.81,8.22,10.04,7.07,3.97,3.29,6.56,4.87,-0.71
P31,gerak,AGEM KANAN,3.0,TAHAN,313.64,316.99,3.35,6.95,10.89,1.74,17.9,1.92,8.1,17.07,-0.63,11.05,6.56,-2.28,5.98,7.65,6.16,2.97,0.39,2.52,2.2,0.93,3.05,5.09,6.45,11.44,7.78,8.84,5.57,3.38,-0.86,5.13,6.6,5.29,0.79
P31,gerak,AGEM KANAN,3.0,NAIK,316.49,319.75,3.26,-1.19,-13.87,10.34,-12.23,-41.46,-0.64,-15.47,-66.66,7.06,6.71,6.42,-2.13,-2.21,-5.8,1.63,0.15,-5.87,-16.11,1.37,-17.68,-59.32,-3.77,-12.25,-89.63,3.5,-0.09,1.02,-1.36,-2.84,0.27,1.52,-0.56
P31,gerak,AGEM KANAN,3.0,POST,320.25,321.75,1.5,-99.59,2.28,9.19,8.03,-64.77,-30.74,10.3,-18.81,-24.89,-16.15,-4.41,-17.39,-61.32,-15.26,-1.6,-0.34,-140.71,-2.67,-0.4,-2.66,-86.38,-28.55,-0.61,-11.57,-27.43,-19.32,-1.05,-11.09,-80.09,-7.87,-1.36,-0.62
P31,gerak,AGEM KANAN,4.0,PRA,325.1,327.1,2.0,3.63,0.95,-0.93,3.42,1.67,1.89,-0.36,-1.87,-0.38,-1.93,-8.46,-6.99,-0.22,-5.08,-8.93,-29.23,-1.97,-0.03,-1.13,-1.83,-1.11,-2.22,-1.23,-0.47,-2.94,-4.63,-3.86,-10.18,-1.94,-3.83,-9.58,-16.6
P31,gerak,AGEM KANAN,4.0,TURUN,327.1,330.71,3.62,0.55,-17.21,6.84,12.67,-14.38,1.29,-0.67,-1.21,7.02,4.78,5.6,10.01,2.86,-1.28,2.09,6.4,-0.62,-16.87,6.94,4.31,-6.52,1.77,3.96,0.21,8.25,6.53,4.74,3.72,3.25,6.94,7.54,3.78
P31,gerak,AGEM KANAN,4.0,TAHAN,330.21,335.23,5.02,-8.16,7.08,7.39,9.82,-9.14,-9.85,6.81,-4.05,11.08,12.28,7.29,4.14,5.63,6.02,2.42,7.31,-7.71,4.98,4.51,4.7,-5.98,-8.87,8.72,4.06,13.89,11.29,9.34,3.71,5.7,5.01,5.33,7.41
P31,gerak,AGEM KANAN,4.0,NAIK,334.73,336.8,2.07,3.69,7.7,9.43,9.93,5.22,4.06,6.79,2.96,12.91,13.75,7.08,8.53,9.83,9.58,9.24,2.21,0.8,7.33,7.1,5.75,3.97,6.0,8.68,3.22,20.21,18.33,14.0,14.45,18.04,15.18,9.93,11.03
P31,gerak,AGEM KANAN,4.0,POST,337.3,338.8,1.5,4.79,-9.95,7.11,-1.89,-12.24,1.91,9.99,-4.23,17.07,16.45,12.54,14.97,15.13,11.93,8.54,9.27,2.98,-4.1,4.04,-8.66,-6.85,10.49,7.06,1.39,18.28,14.54,11.86,15.82,19.81,10.41,13.55,10.93
P31,gerak,AGEM KIRI,3.0,PRA,341.1,343.1,2.0,-67.59,-5.14,-3.82,-0.78,-45.46,-68.16,-5.12,-28.59,-60.09,-49.3,-28.37,-63.07,-66.96,-12.24,-4.12,-2.0,-93.0,1.83,0.45,2.15,-50.69,-94.69,0.81,-27.78,-80.04,-79.91,-15.48,-81.49,-83.77,-7.59,-10.1,-9.3
P31,gerak,AGEM KIRI,3.0,TURUN,343.1,347.19,4.09,4.3,11.36,6.85,8.22,6.8,2.71,7.73,6.62,14.9,14.31,11.1,7.86,10.71,9.24,7.45,7.58,-2.52,4.44,2.01,2.58,0.07,-2.04,1.32,-0.78,13.61,10.75,9.01,6.5,8.33,8.26,7.65,5.73
P31,gerak,AGEM KIRI,3.0,TAHAN,346.69,350.78,4.08,2.93,-13.69,-6.22,-6.93,-1.63,-1.02,0.2,1.08,14.16,14.06,10.49,12.33,12.72,9.39,7.09,7.52,-1.21,-10.23,-4.58,-6.09,-1.61,-1.61,-5.57,-4.38,15.07,11.46,6.92,6.21,8.89,6.43,5.22,4.98
P31,gerak,AGEM KIRI,3.0,NAIK,350.28,352.28,2.0,-71.66,-2.03,1.99,6.66,-88.62,-70.45,0.82,-80.8,9.96,11.92,8.95,8.29,7.88,4.94,3.72,1.57,-95.76,-0.95,2.54,1.41,-125.4,-97.49,0.24,-107.88,16.86,12.24,9.56,11.89,15.86,9.16,9.0,6.78
P31,gerak,AGEM KIRI,3.0,POST,352.78,354.28,1.5,-57.35,3.96,3.83,3.21,-25.88,-59.71,6.89,-12.41,9.63,11.51,10.38,13.03,6.04,10.75,7.26,9.02,-86.63,-2.04,-1.18,-1.35,-23.4,-86.0,-0.48,-16.1,5.05,0.04,1.21,9.27,10.54,3.49,3.68,4.3
P31,gerak,AGEM KIRI,4.0,PRA,356.98,358.98,2.0,2.06,-8.48,-14.9,-13.03,-2.57,-0.21,-43.82,-4.39,1.04,0.78,-0.7,0.04,-1.04,-2.95,-4.28,-6.88,0.64,-6.59,-10.06,-8.89,0.71,-1.26,-58.59,0.67,-1.89,-0.54,-1.87,-6.01,0.1,-2.01,-7.11,-6.66
P31,gerak,AGEM KIRI,4.0,TURUN,358.98,361.82,2.84,1.84,-56.16,7.95,-63.88,-1.84,-0.1,-13.08,-6.97,14.46,9.07,9.28,11.72,8.94,6.14,7.84,3.19,0.53,-47.13,1.03,-92.19,-0.72,0.02,-5.29,-5.08,15.21,7.53,9.08,11.05,10.58,7.92,8.07,6.7
P31,gerak,AGEM KIRI,4.0,TAHAN,361.32,366.23,4.91,-37.21,-4.53,-2.6,-1.03,-64.2,-36.39,-1.82,-78.31,6.6,6.74,8.14,2.23,-3.26,-3.59,2.27,1.25,-52.81,-1.54,-2.47,-1.17,-86.71,-38.4,-1.2,-96.71,2.8,-1.1,2.25,-4.3,-1.33,-6.09,-3.11,1.56
P31,gerak,AGEM KIRI,4.0,NAIK,365.73,368.23,2.5,-76.83,1.06,-15.24,2.55,-48.67,-74.62,3.03,-47.94,-6.3,1.19,-0.38,-35.9,-36.46,-8.7,-8.44,-8.17,-96.98,1.92,-8.83,2.21,-58.11,-95.74,1.34,-55.79,-17.13,-0.87,-0.76,-30.17,-27.39,-2.68,-5.48,-0.11
P31,gerak,AGEM KIRI,4.0,POST,368.73,370.23,1.5,-0.77,15.33,12.26,17.4,6.63,-3.56,13.48,4.36,6.59,9.91,13.8,7.6,8.88,5.47,9.93,9.59,-3.44,5.21,5.22,7.84,0.48,-1.71,8.48,1.39,17.18,14.3,9.23,16.12,14.04,15.18,10.03,12.89
P31,acuan,BERDIRI RILEKS,,ACUAN,50.62,53.9,3.28,5.4,2.67,2.9,5.91,12.37,3.35,2.76,9.45,10.9,9.66,4.68,10.55,12.1,7.23,0.1,4.69,8.76,6.9,5.4,5.83,8.57,9.75,5.77,7.18,11.2,8.18,10.22,9.61,12.81,7.45,3.91,5.91
P31,acuan,BERDIRI RILEKS,,ACUAN,65.4,69.32,3.92,3.61,-5.27,-6.7,-4.87,6.19,3.46,-4.74,5.82,3.05,-4.73,0.97,3.29,6.29,2.31,0.57,2.98,5.75,-1.49,-0.71,-3.36,2.52,5.97,-0.38,3.72,4.17,3.6,1.25,5.3,4.98,4.11,3.26,0.52
P31,acuan,BERDIRI RILEKS,,ACUAN,97.55,103.55,6.0,-0.92,-0.16,0.63,0.15,4.27,0.28,1.97,5.21,-0.21,0.98,-1.24,-0.2,0.08,-0.39,-6.38,-3.41,1.42,1.22,-0.66,0.41,3.04,0.48,0.35,0.37,-0.43,-1.01,-2.74,-3.17,-0.55,-2.4,-4.68,-5.33
P31,acuan,ISTIRAHAT UTAMA,,ACUAN,103.55,275.12,171.56,-2.16,-3.63,-6.15,-1.06,-0.64,-5.4,-4.26,-2.04,-4.32,-4.88,-6.48,-3.95,-2.5,-5.23,-12.15,-12.09,2.99,0.15,-0.78,-0.46,4.16,0.32,0.6,0.96,-3.92,-1.71,-3.1,-7.71,-0.48,-1.95,-12.42,-10.96
P31,acuan,BERDIRI RILEKS,,ACUAN,289.03,294.63,5.6,3.83,0.15,5.55,-0.15,0.39,2.48,1.62,0.45,8.38,8.63,5.83,9.16,6.23,4.5,3.44,0.42,0.17,-1.4,2.0,-5.32,-0.62,-0.34,-0.81,-0.4,5.28,4.57,2.78,3.47,4.8,2.18,1.66,0.24
P31,acuan,BERDIRI RILEKS,,ACUAN,304.96,310.88,5.91,-69.69,-10.18,-0.73,-4.37,-55.73,-54.11,-8.11,-31.33,-24.42,-49.89,-11.84,-3.29,-56.1,-21.4,-0.1,-0.46,-93.06,-7.16,-1.14,-6.6,-93.56,-81.82,-7.04,-18.01,-11.71,-37.55,-6.53,-7.95,-40.8,-14.32,-4.03,-3.85
P31,acuan,BERDIRI RILEKS,,ACUAN,321.75,326.6,4.85,-2.25,3.89,4.34,7.39,-0.43,-4.49,4.12,-0.51,-5.06,-1.26,-2.47,-7.23,-2.82,-6.09,-4.87,-12.16,-5.05,3.03,0.57,2.68,-3.1,-5.63,0.95,-1.2,-6.71,-2.26,-1.77,-14.94,-5.5,-4.63,-5.66,-8.4
P31,acuan,BERDIRI RILEKS,,ACUAN,338.8,342.6,3.8,-30.53,-12.52,-1.58,-3.99,-64.85,-28.94,-6.56,-54.88,-7.65,-13.74,-6.61,0.19,-17.75,-8.01,2.17,1.77,-52.73,-5.13,1.12,-3.16,-87.15,-39.48,-4.06,-60.42,-6.01,-22.53,-3.09,1.44,-6.54,-5.06,0.04,1.4
P31,acuan,BERDIRI RILEKS,,ACUAN,354.28,358.48,4.2,0.76,3.5,-3.57,3.93,-1.41,-0.3,-2.62,-2.14,0.2,3.48,2.97,-0.94,-0.08,0.36,-0.24,-2.28,-2.31,2.51,-3.17,1.33,-1.61,-2.16,-2.42,-2.22,0.39,0.82,1.84,-2.16,0.43,1.34,-0.04,-0.25
P31,acuan,BERDIRI RILEKS,,ACUAN,370.23,376.23,6.0,4.81,3.05,6.86,2.96,4.44,3.41,7.66,5.81,11.42,14.15,6.72,10.61,10.5,8.13,3.44,3.7,-0.17,-0.16,0.59,0.56,0.54,3.28,3.6,2.93,12.08,9.34,8.7,9.57,10.2,8.34,7.1,6.33
P31,romberg,BERDIRI MATA TERTUTUP,,EC,411.58,441.58,30.0,-1.66,-5.32,-10.21,-2.16,0.29,-6.02,-5.45,-6.07,-8.13,-7.91,-13.35,-11.94,-7.17,-12.4,-23.37,-19.36,4.68,1.33,-0.41,0.91,7.3,3.67,1.99,3.23,0.85,0.94,-0.99,-6.89,3.59,1.04,-13.07,-10.85
P32,gerak,NGEED,1.0,PRA,3.63,5.63,2.0,-6.79,1.31,-3.44,-19.33,-20.74,-5.88,-4.84,-2.84,-8.45,-4.57,-4.66,-10.35,-3.87,-14.74,-4.88,-7.16,-11.05,-0.84,-0.25,-7.41,-8.23,-7.43,-2.68,-2.36,-9.94,-6.23,-6.64,-11.47,-9.39,-9.64,-8.57,-6.75
P32,gerak,NGEED,1.0,TURUN,5.63,10.46,4.83,1.75,7.81,1.92,-2.32,-2.61,-1.22,0.6,3.01,2.56,1.15,-0.56,1.82,0.89,-4.51,2.45,2.17,2.92,1.37,3.07,-2.35,1.12,0.56,2.64,4.62,1.43,4.33,2.3,2.54,2.19,1.48,3.59,3.78
P32,gerak,NGEED,1.0,TAHAN,9.96,11.32,1.35,-0.63,-58.02,-57.48,-70.44,-24.88,-3.3,-22.05,2.85,0.63,-1.18,-5.94,0.94,-2.87,-5.29,5.2,0.36,-9.24,-85.87,-94.56,-91.08,-31.88,-6.71,-19.11,-2.74,-2.7,-2.24,-5.76,-5.1,-3.89,-8.18,-1.01,-2.71
P32,gerak,NGEED,1.0,NAIK,10.82,13.58,2.77,-3.48,-60.02,-83.98,-117.62,-22.38,-5.16,-22.57,1.16,-3.18,-7.24,-9.4,-6.53,-6.5,-11.29,-2.1,-8.0,-6.04,-91.05,-100.24,-145.45,-14.98,-4.07,-12.29,-1.65,-1.2,-9.82,-12.88,-9.07,-12.58,-16.82,-11.24,-8.06
P32,gerak,NGEED,1.0,POST,14.08,15.58,1.5,-3.99,-5.69,-12.94,-13.32,-10.35,-2.37,-9.27,0.47,-5.57,0.56,-2.21,-3.5,0.31,2.94,-1.52,-5.41,-0.8,-11.28,-10.97,-14.02,-9.93,-3.77,-5.68,0.82,-0.51,0.81,-0.66,-2.47,-1.67,-0.96,-2.15,-0.58
P32,gerak,NGEED,2.0,PRA,19.58,21.58,2.0,-25.26,-96.6,-83.77,-71.28,-8.64,-111.04,-172.61,-11.3,-313.97,-12.0,-23.26,-314.12,-17.7,-16.43,-27.78,-89.1,-27.56,-110.73,-95.12,-88.29,-2.57,-125.65,-306.73,-5.0,-309.4,-9.67,-25.02,-307.37,-24.63,-14.7,-26.49,-99.37
P32,gerak,NGEED,2.0,TURUN,21.58,23.72,2.15,-10.78,-33.43,-10.4,1.14,0.89,-312.9,-51.74,-6.62,-315.24,-5.62,-89.21,-315.25,-84.14,-8.0,-94.66,-314.69,2.95,-27.3,-5.07,-1.79,2.64,-308.08,-71.28,5.55,-309.45,-2.97,-119.76,-306.19,-114.13,-2.34,-130.92,-304.86
P32,gerak,NGEED,2.0,TAHAN,23.22,26.9,3.68,-11.64,0.93,-2.53,-0.59,4.58,-19.66,-2.38,-0.52,-45.05,-22.47,-317.2,-80.68,-316.44,-8.31,-314.55,-100.48,-5.42,0.6,-1.56,-0.98,0.07,-16.07,-2.96,-3.84,-36.22,-17.42,-305.96,-105.17,-303.32,-6.96,-304.78,-120.72
P32,gerak,NGEED,2.0,NAIK,26.4,29.74,3.34,-13.7,0.48,-1.03,0.23,-7.67,-5.66,-1.34,-0.88,-5.06,-15.72,-59.52,-10.61,-63.95,-29.17,-58.11,-20.65,-10.79,-3.04,-0.33,-0.77,-2.87,-8.67,-0.33,-4.93,-6.01,-7.35,-62.16,-14.45,-63.87,-20.19,-53.92,-17.29
P32,gerak,NGEED,2.0,POST,30.24,31.74,1.5,-9.13,5.08,0.48,3.84,0.09,-3.36,-0.5,-5.48,-0.56,-3.96,-12.55,-1.87,-7.52,-17.63,-8.39,-8.41,-6.54,1.7,4.0,4.12,0.59,-5.75,3.18,-4.9,4.9,6.26,-1.64,1.92,-4.58,-16.1,-3.23,-2.23
P32,gerak,AGEM KANAN,1.0,PRA,35.69,37.69,2.0,-12.25,-60.93,-56.51,-61.48,-8.71,-45.57,-71.41,-6.59,-57.38,-12.41,-13.81,-58.94,-6.44,-9.83,-8.55,-40.02,-14.36,-82.32,-61.24,-88.31,-5.67,-33.55,-92.81,-4.76,-78.22,-8.43,-13.33,-75.58,-13.96,-10.8,-14.4,-32.78
