participant_id,kind,task,rep,phase,a,b,dur,delta_Fp1,delta_F3,delta_C3,delta_P3,delta_O1,delta_F7,delta_T3,delta_T5,delta_Fp2,delta_F4,delta_C4,delta_P4,delta_O2,delta_F8,delta_T4,delta_T6,emg_Fp1,emg_F3,emg_C3,emg_P3,emg_O1,emg_F7,emg_T3,emg_T5,emg_Fp2,emg_F4,emg_C4,emg_P4,emg_O2,emg_F8,emg_T4,emg_T6
P08,gerak,AGEM KIRI,2.0,TURUN,85.73,88.39,2.66,13.81,7.41,0.21,-5.48,10.05,9.77,9.15,18.23,14.69,-3.31,4.89,1.37,0.54,5.86,6.85,6.23,4.25,-4.08,-8.65,-12.12,2.97,1.93,2.42,11.02,9.4,3.26,0.64,0.05,7.0,2.98,11.36,3.76
P08,gerak,AGEM KIRI,2.0,TAHAN,87.89,94.24,6.35,8.38,5.09,-5.62,-16.04,6.1,7.61,3.57,-25.85,9.39,-1.14,-15.01,-14.17,-6.19,-2.34,13.18,-8.0,5.6,-1.93,-8.81,-15.0,5.73,4.09,3.46,-34.6,7.21,8.4,-5.55,-4.34,5.92,5.79,14.02,-2.55
P08,gerak,AGEM KIRI,2.0,NAIK,93.74,95.89,2.15,7.67,12.8,4.94,4.98,7.81,9.9,6.96,-17.87,9.2,4.54,-23.14,-14.97,-1.53,12.08,15.03,9.94,4.88,5.54,2.35,-0.84,5.61,4.5,5.84,-15.14,6.31,4.55,-16.88,-9.06,3.97,6.64,12.67,1.38
P08,gerak,AGEM KIRI,2.0,POST,96.39,97.89,1.5,12.33,23.7,18.83,16.64,16.76,20.95,17.92,-15.06,14.8,7.87,-10.9,-15.15,4.64,3.63,13.6,8.3,0.82,3.61,3.66,3.24,3.71,4.46,3.66,-7.85,4.52,10.04,-10.58,-6.9,8.77,3.47,9.14,4.37
P08,gerak,NGEED,3.0,PRA,278.05,280.05,2.0,-4.17,3.57,1.53,0.57,-1.88,-0.35,-2.2,-8.19,-8.07,-8.93,-5.64,-7.35,-12.88,-10.79,-14.17,-11.81,-6.42,-4.73,-4.96,-4.49,-4.45,-5.52,-4.84,-7.18,-7.77,-2.25,-3.17,-2.28,-4.7,-7.04,-5.62,-3.26
P08,gerak,NGEED,3.0,TURUN,280.05,281.66,1.61,11.28,14.45,10.26,10.05,13.6,13.37,12.22,-34.79,9.58,8.26,6.98,3.0,-0.69,4.64,7.12,-3.53,-2.97,-5.28,-7.27,-5.64,-1.46,-4.84,-2.25,-48.82,-0.28,2.75,-1.81,-2.19,1.64,-2.09,0.3,-5.55
P08,gerak,NGEED,3.0,TAHAN,281.16,287.11,5.94,-9.33,-3.7,1.0,-0.09,-3.39,-8.08,-8.32,-2.96,6.51,-3.23,1.8,0.06,3.6,0.71,1.67,-6.45,-13.83,-11.84,-4.96,-6.3,-4.09,-12.22,-7.58,-1.77,2.08,-0.41,1.97,1.81,4.9,-0.24,2.29,-3.33
P08,gerak,NGEED,3.0,NAIK,286.61,288.35,1.74,0.64,12.14,10.73,10.1,6.39,8.95,6.98,2.02,1.04,-6.32,4.95,0.37,-2.87,1.14,-1.78,-0.49,-2.03,-0.17,0.76,1.15,-0.46,-0.64,-1.54,-4.3,2.62,-1.34,1.11,1.7,1.96,-2.99,-3.54,-3.39
P08,gerak,NGEED,3.0,POST,288.85,290.35,1.5,2.86,8.76,7.74,6.89,5.35,6.13,5.56,-0.81,4.32,6.8,6.46,2.48,8.14,1.23,0.7,11.43,-1.84,1.47,1.28,1.68,2.58,1.55,2.6,-3.78,-2.45,3.95,0.9,1.22,2.57,-2.95,-1.8,-2.64
P08,gerak,NGEED,4.0,PRA,293.14,295.14,2.0,-0.71,-12.27,-15.08,-24.19,-2.18,-13.84,-3.49,-47.1,-6.73,-10.53,-5.35,-4.84,-6.89,-7.6,-10.44,-40.77,0.56,-10.38,-11.09,-18.14,1.13,-8.25,0.03,-74.85,-4.93,-4.9,-1.9,-2.41,-3.29,-4.63,-4.01,-54.73
