participant_id,metode,fase,n_repetisi,pct_repetisi_terpakai,cakupan_fase_median,pct_kanal_epoch_bersih,otot_db_median,detik_bersih_median_kanal,n_rep_valid_median_kanal,pct_kanal_rep_valid_ge3,se_db_median,reliabilitas_belah_dua,varian
P31,TE,Gerak,10,100.0,0.41,66.4,2.3,10.4,8.0,100.0,1.27,0.95,T5_ICAmata_CCAotot
P31,TE,Tahan,10,100.0,0.54,67.0,1.23,20.2,8.5,100.0,1.17,0.91,T5_ICAmata_CCAotot
P31,TE,Naik,10,100.0,0.59,56.6,3.79,8.1,7.0,100.0,1.5,0.88,T5_ICAmata_CCAotot
P31,TE,Berdiri,10,100.0,0.53,70.2,0.05,29.6,8.5,100.0,1.19,0.96,T5_ICAmata_CCAotot
P32,TE,Gerak,12,100.0,0.52,34.3,3.82,6.4,5.0,75.0,1.47,0.57,T5_dasar
P32,TE,Tahan,12,83.3,0.51,48.0,4.09,11.6,6.5,100.0,1.31,0.58,T5_dasar
P32,TE,Naik,12,100.0,0.43,53.2,3.29,8.9,7.0,100.0,1.23,0.72,T5_dasar
P32,TE,Berdiri,12,100.0,0.53,54.1,1.6,33.6,10.0,100.0,1.0,0.8,T5_dasar
P32,TE,Gerak,12,100.0,0.52,35.2,4.01,6.4,5.0,75.0,1.5,0.49,T5_ICA_mata
P32,TE,Tahan,12,83.3,0.51,50.7,3.77,11.6,7.0,100.0,1.25,0.62,T5_ICA_mata
P32,TE,Naik,12,100.0,0.43,54.2,3.1,8.9,7.0,100.0,1.3,0.62,T5_ICA_mata
P32,TE,Berdiri,12,100.0,0.53,56.4,1.49,35.1,10.5,100.0,0.92,0.82,T5_ICA_mata
P32,TE,Gerak,12,100.0,0.52,35.2,4.01,6.4,5.0,75.0,1.5,0.49,T5_ICA_mata_otot
P32,TE,Tahan,12,83.3,0.51,50.7,3.77,11.6,7.0,100.0,1.25,0.62,T5_ICA_mata_otot
P32,TE,Naik,12,100.0,0.43,54.2,3.1,8.9,7.0,100.0,1.3,0.62,T5_ICA_mata_otot
P32,TE,Berdiri,12,100.0,0.53,56.4,1.49,35.1,10.5,100.0,0.92,0.82,T5_ICA_mata_otot
P32,TE,Gerak,12,100.0,0.52,35.2,4.65,7.0,5.5,75.0,1.34,0.49,T5_CCA_otot
