frame,t,raw,task,subphase
1153,38.501,"AGEM KANAN
2
TURUN
",AGEM KANAN,TURUN
1168,39.001,"AGEM KANAN
2
TURUN
",AGEM KANAN,TURUN
1171,39.098,"AGEM KANAN
2
TURUN
",AGEM KANAN,TURUN
1173,39.167,"AGEM KANAN
TURUN
",AGEM KANAN,TURUN
1174,39.209,"AGEM KANAN
3)
",AGEM KANAN,
1175,39.237,"AGEM KANAN
3)
",AGEM KANAN,
1183,39.5,"AGEM KANAN
3)
",AGEM KANAN,
1198,40.001,"AGEM KANAN
3)
",AGEM KANAN,
1201,40.098,"AGEM KANAN
3)
",AGEM KANAN,
1202,40.139,"AGEM KANAN
+)
TAHAN
",AGEM KANAN,TAHAN
1203,40.167,"AGEM KANAN
+)
TAHAN
",AGEM KANAN,TAHAN
1205,40.236,"AGEM KANAN
*)
TAHAN
",AGEM KANAN,TAHAN
1213,40.5,"AGEM KANAN
+)
TAHAN
",AGEM KANAN,TAHAN
1228,41.001,"AGEM KANAN
+)
TAHAN
",AGEM KANAN,TAHAN
1243,41.5,"AGEM KANAN
TAHAN )
",AGEM KANAN,TAHAN
1258,42.001,"AGEM KANAN
TAHAN )
",AGEM KANAN,TAHAN
1261,42.097,"AGEM KANAN
TAHAN )
",AGEM KANAN,TAHAN
1262,42.139,"AGEM KANAN
NAIK )
",AGEM KANAN,NAIK
1263,42.167,"AGEM KANAN
@ NAIK )
",AGEM KANAN,NAIK
1264,42.209,"AGEM KANAN
",AGEM KANAN,
1265,42.236,"AGEM KANAN
",AGEM KANAN,
1273,42.5,"AGEM KANAN
Y
",AGEM KANAN,
1288,43.001,"AGEM KANAN
Y
",AGEM KANAN,
1291,43.097,"AGEM KANAN
Y
",AGEM KANAN,
1292,43.139,"AGEM KANAN
Y
",AGEM KANAN,
1293,43.167,"AGEM KANAN
2D
NAIK
",AGEM KANAN,NAIK
1295,43.236,"AGEM KANAN
(Z)
NAIK
",AGEM KANAN,NAIK
1303,43.5,"AGEM KANAN
(2)
NAIK
",AGEM KANAN,NAIK
1318,44.0,"AGEM KANAN
(2)
NAIK
",AGEM KANAN,NAIK
1321,44.097,"AGEM KANAN
(2)
NAIK
",AGEM KANAN,NAIK
1322,44.139,"AGEM KANAN
(2)
",AGEM KANAN,
1323,44.166,"AGEM KANAN
(2)
",AGEM KANAN,
1325,44.236,"AGEM KANAN
(2)
",AGEM KANAN,
1333,44.5,"AGEM KANAN
",AGEM KANAN,
1348,45.0,"AGEM KANAN
",AGEM KANAN,
1351,45.111,"AGEM KANAN
",AGEM KANAN,
1352,45.138,"BERDIRI RILEKS
(g
“7
",BERDIRI RILEKS,
1353,45.166,"BERDIRI RILEKS
(g
“7
",BERDIRI RILEKS,
1355,45.236,"BERDIRI RILEKS
(g
“7
",BERDIRI RILEKS,
1363,45.5,"BERDIRI RILEKS
-~-
| 8 |
a7
",BERDIRI RILEKS,
1378,46.0,"BERDIRI RILEKS
-~-
| 8 |
a7
",BERDIRI RILEKS,
1393,46.5,"BERDIRI RILEKS
(om
7 |
YS
",BERDIRI RILEKS,
1408,47.0,"BERDIRI RILEKS
_
7 |
YS
",BERDIRI RILEKS,
1424,47.541,"BERDIRI RILEKS
(6)
Nee
",BERDIRI RILEKS,
1438,48.0,"BERDIRI RILEKS
(6)
Nee
",BERDIRI RILEKS,
1454,48.541,"BERDIRI RILEKS
(5 \
Ne
",BERDIRI RILEKS,
1469,49.041,"BERDIRI RILEKS
(5 \
Ne
",BERDIRI RILEKS,
1484,49.542,"BERDIRI RILEKS
f,
4 |
nae
",BERDIRI RILEKS,
1499,50.04,"BERDIRI RILEKS
f,
4 |
nae
",BERDIRI RILEKS,
1514,50.541,"BERDIRI RILEKS
(3
Nee
",BERDIRI RILEKS,
1529,51.04,"BERDIRI RILEKS
(3
EY)
",BERDIRI RILEKS,
1544,51.54,"BERDIRI RILEKS
(2)
Nee
",BERDIRI RILEKS,
1559,52.04,"BERDIRI RILEKS
(2)
Ke
",BERDIRI RILEKS,
1574,52.54,"BERDIRI RILEKS
(1)
Nee
",BERDIRI RILEKS,
1589,53.04,"BERDIRI RILEKS
(1)
Nee
",BERDIRI RILEKS,
1590,53.068,"BERDIRI RILEKS
(1)
Nee
",BERDIRI RILEKS,
1591,53.11,"BERDIRI RILEKS
(1)
Nee
",BERDIRI RILEKS,
1592,53.138,"AGEM KANAN
~
1
TURUN
",AGEM KANAN,TURUN
1596,53.263,"AGEM KANAN
~
1
TURUN
",AGEM KANAN,TURUN
1604,53.54,"AGEM KANAN
~
1
TURUN
",AGEM KANAN,TURUN
1619,54.04,"AGEM KANAN
~
1
TURUN
",AGEM KANAN,TURUN
1634,54.54,"AGEM KANAN
2
TURUN
",AGEM KANAN,TURUN
1649,55.04,"AGEM KANAN
2
TURUN
",AGEM KANAN,TURUN
1652,55.137,"AGEM KANAN
2
TURUN
",AGEM KANAN,TURUN
1653,55.165,"AGEM KANAN
TURUN
",AGEM KANAN,TURUN
1654,55.206,"AGEM KANAN
3)
",AGEM KANAN,
1656,55.276,"AGEM KANAN
3)
",AGEM KANAN,
1664,55.54,"AGEM KANAN
3)
",AGEM KANAN,
1679,56.04,"AGEM KANAN
3)
",AGEM KANAN,
1682,56.137,"AGEM KANAN
3)
",AGEM KANAN,
1683,56.165,"AGEM KANAN
+)
TAHAN
",AGEM KANAN,TAHAN
1684,56.206,"AGEM KANAN
4)
TAHAN
",AGEM KANAN,TAHAN
1686,56.276,"AGEM KANAN
+)
TAHAN
",AGEM KANAN,TAHAN
1694,56.539,"AGEM KANAN
>
TAHAN
",AGEM KANAN,TAHAN
1709,57.039,"AGEM KANAN
>
TAHAN
",AGEM KANAN,TAHAN
