participant_id,task,rep,phase,compliance,latency_hud,phase_source,band,channel,erd_pct,phase_dur,phase_ptp_uv,ptp_ratio_vs_baseline,is_simulated,interpolated
P22,AGEM KANAN,1,TURUN,short_hold,1.8539999999999992,video,beta,F3,619.9168438329789,0.5970000000000013,408.0,3.31,False,False
P22,AGEM KANAN,1,TURUN,short_hold,1.8539999999999992,video,beta,F4,439.00843662312974,0.5970000000000013,363.7,6.01,False,False
P22,AGEM KANAN,1,NAIK,short_hold,1.8539999999999992,video,theta,C3,544.1301852575107,5.929000000000002,362.9,4.12,False,False
P22,AGEM KANAN,1,NAIK,short_hold,1.8539999999999992,video,theta,C4,4749.471278720256,5.929000000000002,544.3,8.62,False,False
P22,AGEM KANAN,1,NAIK,short_hold,1.8539999999999992,video,theta,P3,605.4980687533817,5.929000000000002,285.6,2.74,False,False
P22,AGEM KANAN,1,NAIK,short_hold,1.8539999999999992,video,theta,P4,2560.025115928902,5.929000000000002,738.3,8.14,False,False
P22,AGEM KANAN,1,NAIK,short_hold,1.8539999999999992,video,theta,O1,1736.6394816533084,5.929000000000002,437.1,6.48,False,False
P22,AGEM KANAN,1,NAIK,short_hold,1.8539999999999992,video,theta,O2,1863.4533951080161,5.929000000000002,696.9,7.14,False,False
P22,AGEM KANAN,1,NAIK,short_hold,1.8539999999999992,video,theta,F3,316.03648700700944,5.929000000000002,326.5,2.65,False,False
P22,AGEM KANAN,1,NAIK,short_hold,1.8539999999999992,video,theta,F4,2274.749502210515,5.929000000000002,328.9,5.43,False,False
P22,AGEM KANAN,1,NAIK,short_hold,1.8539999999999992,video,mu,C3,528.7893182848456,5.929000000000002,362.9,4.12,False,False
P22,AGEM KANAN,1,NAIK,short_hold,1.8539999999999992,video,mu,C4,1742.3874320463724,5.929000000000002,544.3,8.62,False,False
P22,AGEM KANAN,1,NAIK,short_hold,1.8539999999999992,video,mu,P3,139.0170042409322,5.929000000000002,285.6,2.74,False,False
P22,AGEM KANAN,1,NAIK,short_hold,1.8539999999999992,video,mu,P4,1221.8433715689362,5.929000000000002,738.3,8.14,False,False
P22,AGEM KANAN,1,NAIK,short_hold,1.8539999999999992,video,mu,O1,1101.1077122017439,5.929000000000002,437.1,6.48,False,False
P22,AGEM KANAN,1,NAIK,short_hold,1.8539999999999992,video,mu,O2,943.518857801432,5.929000000000002,696.9,7.14,False,False
P22,AGEM KANAN,1,NAIK,short_hold,1.8539999999999992,video,mu,F3,619.2505695370044,5.929000000000002,326.5,2.65,False,False
P22,AGEM KANAN,1,NAIK,short_hold,1.8539999999999992,video,mu,F4,768.5506600617167,5.929000000000002,328.9,5.43,False,False
P22,AGEM KANAN,1,NAIK,short_hold,1.8539999999999992,video,beta,C3,201.0133350345782,5.929000000000002,362.9,4.12,False,False
P22,AGEM KANAN,1,NAIK,short_hold,1.8539999999999992,video,beta,C4,855.073169033972,5.929000000000002,544.3,8.62,False,False
P22,AGEM KANAN,1,NAIK,short_hold,1.8539999999999992,video,beta,P3,62.587090261014296,5.929000000000002,285.6,2.74,False,False
P22,AGEM KANAN,1,NAIK,short_hold,1.8539999999999992,video,beta,P4,683.9861244693185,5.929000000000002,738.3,8.14,False,False
P22,AGEM KANAN,1,NAIK,short_hold,1.8539999999999992,video,beta,O1,511.1001909700455,5.929000000000002,437.1,6.48,False,False
P22,AGEM KANAN,1,NAIK,short_hold,1.8539999999999992,video,beta,O2,452.8809271189197,5.929000000000002,696.9,7.14,False,False
P22,AGEM KANAN,1,NAIK,short_hold,1.8539999999999992,video,beta,F3,297.47187852384013,5.929000000000002,326.5,2.65,False,False
P22,AGEM KANAN,1,NAIK,short_hold,1.8539999999999992,video,beta,F4,256.3971677916432,5.929000000000002,328.9,5.43,False,False
P22,AGEM KANAN,1,POST,short_hold,1.8539999999999992,video,theta,C3,1292.129975503015,1.5,269.3,3.06,False,False
P22,AGEM KANAN,1,POST,short_hold,1.8539999999999992,video,theta,C4,6292.256170469093,1.5,417.6,6.62,False,False
P22,AGEM KANAN,1,POST,short_hold,1.8539999999999992,video,theta,P3,628.733777019337,1.5,274.0,2.63,False,False
P22,AGEM KANAN,1,POST,short_hold,1.8539999999999992,video,theta,P4,2874.3380762398174,1.5,387.4,4.27,False,False
P22,AGEM KANAN,1,POST,short_hold,1.8539999999999992,video,theta,O1,6532.282616132672,1.5,415.2,6.16,False,False
P22,AGEM KANAN,1,POST,short_hold,1.8539999999999992,video,theta,O2,1480.7539465897412,1.5,229.4,2.35,False,False
P22,AGEM KANAN,1,POST,short_hold,1.8539999999999992,video,theta,F3,777.6003945690284,1.5,313.0,2.54,False,False
P22,AGEM KANAN,1,POST,short_hold,1.8539999999999992,video,theta,F4,1248.4592494112326,1.5,152.5,2.52,False,False
P22,AGEM KANAN,1,POST,short_hold,1.8539999999999992,video,mu,C3,1949.855841037204,1.5,269.3,3.06,False,False
P22,AGEM KANAN,1,POST,short_hold,1.8539999999999992,video,mu,C4,1854.5960119095987,1.5,417.6,6.62,False,False
P22,AGEM KANAN,1,POST,short_hold,1.8539999999999992,video,mu,P3,402.9334788746424,1.5,274.0,2.63,False,False
P22,AGEM KANAN,1,POST,short_hold,1.8539999999999992,video,mu,P4,2261.221805588284,1.5,387.4,4.27,False,False
P22,AGEM KANAN,1,POST,short_hold,1.8539999999999992,video,mu,O1,4430.084768904087,1.5,415.2,6.16,False,False
P22,AGEM KANAN,1,POST,short_hold,1.8539999999999992,video,mu,O2,1393.6424500922144,1.5,229.4,2.35,False,False
P22,AGEM KANAN,1,POST,short_hold,1.8539999999999992,video,mu,F3,2131.4688903205024,1.5,313.0,2.54,False,False
P22,AGEM KANAN,1,POST,short_hold,1.8539999999999992,video,mu,F4,369.6041996664109,1.5,152.5,2.52,False,False
P22,AGEM KANAN,1,POST,short_hold,1.8539999999999992,video,beta,C3,650.056004373703,1.5,269.3,3.06,False,False
P22,AGEM KANAN,1,POST,short_hold,1.8539999999999992,video,beta,C4,970.2601039651181,1.5,417.6,6.62,False,False
P22,AGEM KANAN,1,POST,short_hold,1.8539999999999992,video,beta,P3,163.94690390112788,1.5,274.0,2.63,False,False
