gerakan,rep,blok,fase,onset,mulai,selesai,durasi_fase,participant_id
Agem Kanan,3,2,Tahan,313.153,312.653,316.001,2.848,P32
Agem Kanan,3,2,Naik,316.001,315.501,319.387,3.386,P32
Agem Kanan,3,2,Berdiri,319.387,318.887,327.307,7.92,P32
Agem Kanan,4,2,Gerak,327.307,326.807,328.9,1.593,P32
Agem Kanan,4,2,Tahan,328.9,328.4,332.309,3.409,P32
Agem Kanan,4,2,Naik,332.309,331.809,334.886,2.577,P32
Agem Kanan,4,2,Berdiri,334.886,334.386,342.886,8.0,P32
Agem Kiri,3,2,Gerak,342.955,342.455,344.87,1.915,P32
Agem Kiri,3,2,Tahan,344.87,344.37,348.32,3.45,P32
Agem Kiri,3,2,Naik,348.32,347.82,351.173,2.853,P32
Agem Kiri,3,2,Berdiri,351.173,350.673,358.85,7.677,P32
Agem Kiri,4,2,Gerak,358.85,358.35,360.997,2.147,P32
Agem Kiri,4,2,Tahan,360.997,360.497,364.664,3.667,P32
Agem Kiri,4,2,Naik,364.664,364.164,366.97,2.306,P32
Agem Kiri,4,2,Berdiri,366.97,366.47,374.97,8.0,P32
-,0,0,Tutup Mata,411.864,411.364,441.864,30.0,P32
-,0,1,Istirahat,101.954,101.954,274.283,172.329,P32
