participant_id,sumber,gerakan,rep,fase,mulai,selesai,cakupan,r_kiri,r_kanan,r_antar
P09,timestamp_manual,Agem Kanan,1,Gerak,37.757,41.202,1.0,,-0.075,0.174
P09,timestamp_manual,Agem Kanan,1,Tahan,40.702,46.217,1.0,0.285,0.864,0.063
P09,timestamp_manual,Agem Kanan,1,Naik,45.717,48.02,1.0,0.536,0.915,0.171
P09,timestamp_manual,Agem Kanan,1,Berdiri,47.52,54.243,1.0,0.699,0.511,0.183
P09,timestamp_manual,Agem Kanan,2,Gerak,53.743,57.739,1.0,0.715,0.468,0.135
P09,timestamp_manual,Agem Kanan,2,Tahan,57.239,62.373,1.0,0.442,0.547,0.095
P09,timestamp_manual,Agem Kanan,2,Naik,61.873,64.868,1.0,0.586,0.536,0.258
P09,timestamp_manual,Agem Kanan,2,Berdiri,64.368,70.714,1.0,0.635,0.59,0.012
P09,timestamp_manual,Agem Kiri,1,Gerak,70.214,73.084,1.0,0.707,0.453,0.073
P09,timestamp_manual,Agem Kiri,1,Tahan,72.584,77.96,1.0,0.798,0.466,0.153
P09,timestamp_manual,Agem Kiri,1,Naik,77.46,80.435,1.0,0.882,0.41,0.018
P09,timestamp_manual,Agem Kiri,1,Berdiri,79.935,86.482,1.0,0.755,0.443,0.052
P09,timestamp_manual,Agem Kiri,2,Gerak,85.982,90.32,1.0,0.81,0.441,0.15
P09,timestamp_manual,Agem Kiri,2,Tahan,89.82,93.814,1.0,0.827,0.515,0.021
P09,timestamp_manual,Agem Kiri,2,Naik,93.314,96.999,1.0,0.816,0.421,0.04
P09,timestamp_manual,Agem Kiri,2,Berdiri,96.499,104.999,1.0,0.517,0.373,0.013
P09,timestamp_manual,Ngeed,3,Gerak,279.453,282.142,1.0,,0.616,0.026
P09,timestamp_manual,Ngeed,3,Tahan,281.642,286.27,1.0,0.617,0.308,0.315
P09,timestamp_manual,Ngeed,3,Naik,285.77,289.137,1.0,,-0.183,-0.064
P09,timestamp_manual,Ngeed,3,Berdiri,288.637,295.67,1.0,0.464,0.033,0.085
P09,timestamp_manual,Ngeed,4,Gerak,295.17,297.573,1.0,0.344,0.367,-0.024
P09,timestamp_manual,Ngeed,4,Tahan,297.073,302.915,1.0,,-0.175,0.005
P09,timestamp_manual,Ngeed,4,Naik,302.415,304.716,1.0,0.669,0.386,0.403
P09,timestamp_manual,Ngeed,4,Berdiri,304.216,311.238,1.0,,0.049,-0.142
P09,timestamp_manual,Agem Kanan,3,Gerak,310.738,315.222,1.0,0.945,0.172,-0.099
P09,timestamp_manual,Agem Kanan,3,Tahan,314.722,318.84,1.0,,,-0.103
P09,timestamp_manual,Agem Kanan,3,Naik,318.34,322.121,1.0,0.819,,0.108
P09,timestamp_manual,Agem Kanan,3,Berdiri,321.621,327.33,1.0,,0.681,-0.085
P09,timestamp_manual,Agem Kanan,4,Gerak,326.83,330.898,1.0,0.575,0.537,0.124
P09,timestamp_manual,Agem Kanan,4,Tahan,330.398,334.38,1.0,0.895,0.636,-0.076
P09,timestamp_manual,Agem Kanan,4,Naik,333.88,337.531,1.0,,0.424,-0.046
P09,timestamp_manual,Agem Kanan,4,Berdiri,337.031,343.196,1.0,0.748,0.445,-0.06
P09,timestamp_manual,Agem Kiri,3,Gerak,342.696,346.398,1.0,0.701,0.726,0.139
P09,timestamp_manual,Agem Kiri,3,Tahan,345.898,349.778,1.0,0.841,0.968,-0.132
P09,timestamp_manual,Agem Kiri,3,Naik,349.278,352.575,1.0,,0.818,0.093
P09,timestamp_manual,Agem Kiri,3,Berdiri,352.075,359.194,1.0,0.623,0.635,0.046
P09,timestamp_manual,Agem Kiri,4,Gerak,358.694,362.135,1.0,0.686,0.71,0.181
P09,timestamp_manual,Agem Kiri,4,Tahan,361.635,366.278,1.0,,0.83,0.147
P09,timestamp_manual,Agem Kiri,4,Naik,365.778,368.945,1.0,,0.812,-0.321
P09,timestamp_manual,Agem Kiri,4,Berdiri,368.445,376.945,1.0,0.603,0.283,-0.241
P09,timestamp_manual,-,0,Tutup Mata,411.892,442.392,0.135,0.663,0.555,0.312
P09,timestamp_manual,-,0,Istirahat,104.999,274.953,1.0,0.594,0.564,0.076
P09,repo_video,Ngeed,1,Gerak,9.302,10.371,1.0,0.644,0.715,0.41
P09,repo_video,Ngeed,1,Tahan,10.85,15.613,1.0,0.522,0.697,0.513
P09,repo_video,Ngeed,1,Naik,15.994,16.607,1.0,0.444,0.479,0.201
P09,repo_video,Ngeed,2,Gerak,24.84,25.967,1.0,0.55,0.709,0.135
P09,repo_video,Ngeed,2,Tahan,26.459,30.625,1.0,,,0.117
P09,repo_video,Ngeed,2,Naik,31.083,32.056,1.0,,-0.384,0.321
P09,repo_video,Agem Kiri,1,Gerak,73.716,76.813,1.0,0.798,0.498,0.065
P09,repo_video,Agem Kiri,1,Tahan,77.313,78.951,1.0,0.872,0.754,-0.146
P09,repo_video,Agem Kiri,1,Naik,79.28,79.65,1.0,0.945,0.439,0.158
P09,repo_video,Agem Kiri,2,Gerak,89.265,90.149,1.0,0.897,0.311,-0.081
P09,repo_video,Agem Kiri,2,Tahan,90.589,92.283,1.0,0.884,0.597,0.048
P09,repo_video,Agem Kiri,2,Naik,92.783,95.685,1.0,0.847,0.627,0.014
P09,repo_video,Ngeed,3,Gerak,281.541,282.523,1.0,0.531,0.322,0.019
P09,repo_video,Ngeed,3,Tahan,282.984,287.552,1.0,0.627,0.168,0.325
P09,repo_video,Ngeed,3,Naik,288.002,288.935,1.0,,-0.124,-0.032
P09,repo_video,Ngeed,4,Gerak,297.343,298.326,1.0,,0.444,0.076
P09,repo_video,Ngeed,4,Tahan,298.786,304.021,1.0,0.466,-0.185,0.092
P09,repo_video,Ngeed,4,Naik,304.44,305.227,1.0,0.462,0.644,0.263
P09,repo_video,Agem Kanan,3,Tahan,314.809,315.188,1.0,0.932,0.202,-0.301
P09,repo_video,Agem Kanan,3,Naik,315.519,320.088,1.0,,,0.093
P09,repo_video,Agem Kanan,4,Gerak,330.849,331.686,1.0,0.901,0.756,-0.058
P09,repo_video,Agem Kanan,4,Naik,332.517,335.878,1.0,,0.6,0.199
P09,repo_video,Agem Kiri,3,Gerak,346.377,347.223,1.0,0.878,0.965,-0.209
P09,repo_video,Agem Kiri,3,Tahan,347.654,351.278,1.0,,0.964,-0.342
P09,repo_video,Agem Kiri,3,Naik,351.62,352.047,1.0,0.599,-0.169,-0.197
P09,repo_video,Agem Kiri,4,Gerak,362.541,363.192,1.0,0.822,0.813,0.369
P09,repo_video,Agem Kiri,4,Tahan,363.582,367.012,1.0,,0.829,0.069
P09,repo_video,Agem Kiri,4,Naik,367.423,368.177,1.0,,0.794,-0.362
P09,repo_video,-,0,Istirahat,104.999,274.953,1.0,0.594,0.564,0.076
P31,timestamp_manual,Agem Kanan,1,Gerak,38.413,42.197,1.0,0.276,0.763,-0.175
P31,timestamp_manual,Agem Kanan,1,Tahan,41.697,46.46,1.0,0.342,0.696,0.071
P31,timestamp_manual,Agem Kanan,1,Naik,45.96,48.617,1.0,0.203,0.642,-0.115
P31,timestamp_manual,Agem Kanan,1,Berdiri,48.117,54.897,1.0,0.339,0.572,-0.154
P31,timestamp_manual,Agem Kanan,2,Gerak,54.397,58.308,1.0,0.835,0.635,0.249
P31,timestamp_manual,Agem Kanan,2,Tahan,57.808,62.546,1.0,0.492,0.727,-0.077
P31,timestamp_manual,Agem Kanan,2,Naik,62.046,63.401,1.0,0.348,0.787,-0.082
P31,timestamp_manual,Agem Kanan,2,Berdiri,62.901,70.317,1.0,0.446,0.695,0.174
P31,timestamp_manual,Agem Kiri,1,Gerak,69.817,74.077,1.0,0.857,0.569,0.219
P31,timestamp_manual,Agem Kiri,1,Tahan,73.577,82.536,1.0,0.289,0.548,0.064
P31,timestamp_manual,Agem Kiri,1,Naik,82.036,84.17,1.0,0.392,0.526,-0.095
P31,timestamp_manual,Agem Kiri,1,Berdiri,83.67,86.97,1.0,0.288,0.743,-0.002
P31,timestamp_manual,Agem Kiri,2,Gerak,86.47,89.168,1.0,0.661,0.74,-0.018
P31,timestamp_manual,Agem Kiri,2,Tahan,88.668,94.349,1.0,0.476,0.627,0.069
P31,timestamp_manual,Agem Kiri,2,Naik,93.849,95.553,1.0,0.454,0.613,0.141
P31,timestamp_manual,Agem Kiri,2,Berdiri,95.053,103.553,1.0,0.539,0.57,0.085
P31,timestamp_manual,Ngeed,3,Gerak,279.616,282.582,1.0,0.095,0.837,-0.007
P31,timestamp_manual,Ngeed,3,Tahan,282.082,285.501,1.0,0.074,0.842,0.019
P31,timestamp_manual,Ngeed,3,Naik,285.001,287.032,1.0,0.585,0.721,-0.208
P31,timestamp_manual,Ngeed,3,Berdiri,286.532,295.032,1.0,0.334,0.725,0.03
P31,timestamp_manual,Ngeed,4,Gerak,295.131,297.614,1.0,0.002,0.866,0.185
P31,timestamp_manual,Ngeed,4,Tahan,297.114,301.214,1.0,0.198,0.728,0.093
P31,timestamp_manual,Ngeed,4,Naik,300.714,302.965,1.0,0.488,0.596,0.047
P31,timestamp_manual,Ngeed,4,Berdiri,302.465,310.965,1.0,,0.727,0.057
P31,timestamp_manual,Agem Kanan,3,Gerak,311.376,314.14,1.0,0.38,0.477,-0.07
P31,timestamp_manual,Agem Kanan,3,Tahan,313.64,316.992,1.0,0.674,0.576,-0.267
P31,timestamp_manual,Agem Kanan,3,Naik,316.492,319.747,1.0,,0.695,-0.363
P31,timestamp_manual,Agem Kanan,3,Berdiri,319.247,327.597,1.0,0.595,0.496,-0.088
P31,timestamp_manual,Agem Kanan,4,Gerak,327.097,330.714,1.0,0.168,0.381,0.123
P31,timestamp_manual,Agem Kanan,4,Tahan,330.214,335.23,1.0,0.479,0.611,-0.007
P31,timestamp_manual,Agem Kanan,4,Naik,334.73,336.799,1.0,0.102,0.677,-0.044
P31,timestamp_manual,Agem Kanan,4,Berdiri,336.299,343.604,1.0,,0.675,0.17
P31,timestamp_manual,Agem Kiri,3,Gerak,343.104,347.19,1.0,0.537,0.577,0.074
P31,timestamp_manual,Agem Kiri,3,Tahan,346.69,350.775,1.0,,0.819,0.18
P31,timestamp_manual,Agem Kiri,3,Naik,350.275,352.276,1.0,0.487,0.761,-0.0
P31,timestamp_manual,Agem Kiri,3,Berdiri,351.776,359.481,1.0,,0.765,0.292
