participant_id,task,subphase,n,start,end,rep
P04,NGEED,NAIK,18,10.089,13.09,1.0
P04,BERDIRI RILEKS,,21,13.09,21.122,
P04,NGEED,TURUN,13,21.122,24.15,2.0
P04,NGEED,TAHAN,8,24.15,26.087,2.0
P04,NGEED,NAIK,21,26.087,29.156,2.0
P04,BERDIRI RILEKS,,20,29.156,37.155,
P04,AGEM KANAN,TURUN,13,37.155,40.126,1.0
P04,AGEM KANAN,TAHAN,9,40.126,42.154,1.0
P04,AGEM KANAN,NAIK,19,42.154,45.154,1.0
P04,BERDIRI RILEKS,,20,45.154,53.152,
P04,AGEM KANAN,TURUN,14,53.152,56.152,2.0
P04,AGEM KANAN,TAHAN,8,56.152,58.151,2.0
P04,AGEM KANAN,NAIK,19,58.151,61.269,2.0
P04,BERDIRI RILEKS,,20,61.269,69.156,
P04,AGEM KIRI,TURUN,15,69.156,72.219,1.0
P04,AGEM KIRI,TAHAN,7,72.219,74.156,1.0
P04,AGEM KIRI,NAIK,19,74.156,77.155,1.0
P04,BERDIRI RILEKS,,20,77.155,85.189,
P04,AGEM KIRI,TURUN,14,85.189,88.189,2.0
P04,AGEM KIRI,TAHAN,8,88.189,90.188,2.0
P04,AGEM KIRI,NAIK,18,90.188,93.618,2.0
P04,ISTIRAHAT UTAMA,,363,93.618,273.174,
P04,BERSIAP,,10,276.063,278.222,
P04,NGEED,TURUN,12,278.222,281.25,3.0
P04,NGEED,TAHAN,14,281.25,284.249,3.0
P04,NGEED,NAIK,14,284.249,286.332,3.0
P04,BERDIRI RILEKS,,20,286.332,294.213,
P04,NGEED,TURUN,14,294.213,297.219,4.0
P04,NGEED,TAHAN,8,297.219,299.219,4.0
P04,NGEED,NAIK,20,299.219,302.281,4.0
P04,BERDIRI RILEKS,,20,302.281,310.287,
P04,AGEM KANAN,TURUN,14,310.287,313.28,3.0
P04,AGEM KANAN,TAHAN,14,313.28,316.286,3.0
P04,AGEM KANAN,NAIK,12,316.286,318.286,3.0
P04,BERDIRI RILEKS,,24,318.286,326.284,
P04,AGEM KANAN,TURUN,13,326.284,329.284,4.0
P04,AGEM KANAN,TAHAN,9,329.284,331.284,4.0
P04,AGEM KANAN,NAIK,18,331.284,334.366,4.0
P04,BERDIRI RILEKS,,18,334.366,342.282,
P04,AGEM KIRI,TURUN,14,342.282,345.282,3.0
P04,AGEM KIRI,TAHAN,9,345.282,347.316,3.0
P04,AGEM KIRI,NAIK,19,347.316,350.315,3.0
P04,BERDIRI RILEKS,,20,350.315,358.349,
P04,AGEM KIRI,TURUN,14,358.349,361.348,4.0
P04,AGEM KIRI,TAHAN,14,361.348,364.348,4.0
P04,AGEM KIRI,NAIK,12,364.348,366.384,4.0
P04,BERDIRI FOKUS MATA TERBUKA,,65,366.384,396.454,
P04,BERDIRI ISTIRAHAT,,33,396.454,411.549,
P04,BERDIRI MATA TERTUTUP,,63,411.549,441.503,
P05,BERSIAP,,15,0.741,5.122,
P05,NGEED,TURUN,14,5.122,8.122,1.0
P05,NGEED,TAHAN,8,8.122,10.121,1.0
P05,NGEED,NAIK,20,10.121,13.121,1.0
P05,BERDIRI RILEKS,,20,13.121,21.154,
P05,NGEED,TURUN,14,21.154,24.154,2.0
P05,NGEED,TAHAN,8,24.154,26.154,2.0
