pid,grup,kondisi,area,cakupan,n_win,offset,expo,alpha,theta,beta
P05,penari,EO,temporo-post,1.0,23,35.32791707491097,1.3555879804759992,1.1812857165341821,0.36046539348105033,0.3919684832843579
P05,penari,EO,frontal,1.0,22,39.38464731325172,1.6574917506347566,2.4073438386998545,0.627812666934281,0.6771568212050607
P05,penari,EC,oksipital,0.27,6,40.280836904313574,1.4884206889585012,1.9905234768581161,1.0707921809777576,0.11797996607749794
P05,penari,EC,parietal,0.27,6,41.379726674107744,1.495141993227889,2.7666600635996073,2.3450565984508556,0.4315506771247066
P05,penari,EC,sentral,0.27,4,40.47407709540622,1.5692478864933959,2.5857056681832753,0.6268810011361153,1.291128718714078
P05,penari,EC,temporo-post,0.27,6,41.124604001656806,1.8182990501484098,3.195521351260107,1.7714933220590319,0.49494252420639145
P05,penari,EC,frontal,0.27,4,45.01379982622181,2.061792550397409,3.6138031495284584,-0.6009861198922578,1.527281714244062
P06,penari,EO,oksipital,1.0,20,43.85999631002434,1.6087152017274797,0.2368819376493705,0.014598114199918522,0.853403445554078
P06,penari,EO,parietal,1.0,22,40.14667268552686,1.4168119270076769,0.6527213518749235,1.1660517413298122,0.9326651709597136
P06,penari,EO,sentral,1.0,23,38.592400227470044,1.4503380973023219,0.3588516216925042,0.13540145887206034,0.9808754012102199
P06,penari,EO,temporo-post,1.0,23,40.92278709371495,1.508511434730655,0.35402819415165077,0.12603812699254535,0.7714986012165053
P06,penari,EO,frontal,1.0,13,37.352843532841206,1.4356261683960503,-0.3849411267910554,0.13592700098009336,1.2322145177141763
P06,penari,EC,oksipital,0.88,18,43.75734711981175,1.6004105851025368,0.7884490059248517,0.7893989560232845,0.659843500461016
P06,penari,EC,parietal,0.88,23,38.777155916961405,1.313455712686964,1.1626997686760974,1.3415607373867928,0.678505500249867
P06,penari,EC,sentral,0.88,23,37.651966639576386,1.3894234514282158,0.8496205402749029,1.0300078282955516,0.6870260276163724
P06,penari,EC,temporo-post,0.88,19,44.16892181128204,1.722827953811774,0.3092130841729599,0.20940655083477255,0.7287242743908329
P06,penari,EC,frontal,0.88,23,36.15301775076907,1.411193070488397,1.3524473522615263,1.2168095495373654,0.5418980242102164
P07,penari,EO,oksipital,1.0,26,30.385336517078652,1.022265192954004,-0.10572293368822416,0.2912528029896111,0.6294124206659341
P07,penari,EO,parietal,1.0,27,30.949877329207098,1.1205728373721184,0.4119839594296091,0.21724511718830553,0.16639049403305295
P07,penari,EO,sentral,1.0,27,31.61301324921355,1.2256239319516233,0.5289141510039372,1.4649076127057448,0.19373510160997093
P07,penari,EO,temporo-post,1.0,27,33.618716741895014,1.4404076541016735,0.8359857258922843,0.08933913313681763,0.6367813479448696
P07,penari,EO,frontal,1.0,27,29.325092273183685,1.2716418530349423,0.45788111592725844,-0.7556519832577311,-0.020367964602140864
P07,penari,EC,oksipital,0.92,24,27.068484928248537,0.8687089949863781,-0.1268497197151417,0.3328450291503693,0.053921749544370276
P07,penari,EC,parietal,0.92,24,26.93182293484427,0.8971755858706904,-0.1631506531764746,1.231410205882295,0.04886479776556044
P07,penari,EC,sentral,0.92,24,29.78529452166938,1.163382109717735,-0.12836313786461795,1.5489889789341582,0.7095469686254731
P07,penari,EC,temporo-post,0.92,24,30.487139295423535,1.3923859741262443,-0.45330677594080004,0.8995997720341936,0.9944539631262002
P07,penari,EC,frontal,0.92,24,28.896245776966193,1.400367180311836,-0.4898400130393161,-0.2850939840252237,0.8037543474241773
P10,non-penari,EO,oksipital,1.0,16,45.276424413812684,1.66393468027275,0.8502888732324232,0.13072127675821554,1.1102070910476602
P10,non-penari,EO,parietal,1.0,4,44.54457260459836,1.357761242681787,0.8280534301491382,-0.35618731338932563,1.2086055645096765
P10,non-penari,EO,sentral,1.0,17,44.86085424890568,1.7668333804932903,1.366571284709213,0.15619896651238807,0.7911946170827683
P10,non-penari,EO,temporo-post,1.0,0,,,,,
P10,non-penari,EO,frontal,1.0,8,44.83890850014405,1.3815169518711663,0.6456305407404836,0.2822537170831274,1.4070302097630782
P10,non-penari,EC,oksipital,0.56,11,42.09014504217748,1.3289420542774153,0.8101245548926244,-0.07766483092989218,0.6394922003241167
P10,non-penari,EC,parietal,0.56,3,44.18410934778839,1.2929274864567113,2.2279377013453927,1.8223837692745426,1.5564936789579609
P10,non-penari,EC,sentral,0.56,12,44.60479113496774,1.8643268386229195,1.4230581693198343,0.9278006055131249,0.6530180375293504
P10,non-penari,EC,temporo-post,0.56,0,,,,,
P10,non-penari,EC,frontal,0.56,4,41.55982798493945,1.1722520813228523,1.9931264734822616,0.9117271765271501,1.4576811124661804
P36,non-penari,EO,oksipital,1.0,4,33.605636800743866,1.2797456416430129,0.8882942485914769,0.20059729200877674,1.436136668841773
P36,non-penari,EO,parietal,1.0,7,34.52819578427751,1.2925140202620107,1.1056255741685572,0.23582480369669367,1.0935403205235594
P36,non-penari,EO,sentral,1.0,7,29.92300781845107,1.0083566994512363,0.9927728895298802,1.7740631890764962,1.450882190431289
P36,non-penari,EO,temporo-post,1.0,5,29.07637170074494,1.0502778187933226,-0.4303161833362912,-0.15160513934253356,1.092610881741589
P36,non-penari,EO,frontal,1.0,6,32.11980714038119,1.4690256610214125,1.894702984837529,1.1078466461432146,1.6327730042815105
P36,non-penari,EC,oksipital,1.0,26,33.58935708453957,1.1994831402190038,0.2878891532196326,-1.9005718178004112,0.4881255029025996
P36,non-penari,EC,parietal,1.0,26,32.336966287207424,1.1569285569092842,0.4889246393400424,-1.517010786531694,0.4314454576096074
P36,non-penari,EC,sentral,1.0,26,29.858268635431816,1.07843307035453,1.0852513810084143,0.2098009036881765,0.833081299870102
