pid,grup,fase,pasangan,pita,psi,wpli,n_win
P03,penari,TURUN,C4→P4,mu,-0.04631696182076245,0.18854857050136284,63
P03,penari,TURUN,C4→P4,beta,-0.12382114696642887,0.13905544092089991,63
P03,penari,TAHAN,F3→C3,mu,-0.01025402601190082,0.18411116565090488,101
P03,penari,TAHAN,F3→C3,beta,0.04038280618769801,0.08274861937282411,101
P03,penari,TAHAN,C3→P3,mu,-0.011470697070572054,0.14405614694815552,101
P03,penari,TAHAN,C3→P3,beta,0.06962421387504386,0.058624582582890127,101
P03,penari,TAHAN,F4→C4,mu,-0.019576847150450955,0.18001077861924214,101
P03,penari,TAHAN,F4→C4,beta,-0.042955378346151346,0.13452193373734095,101
P03,penari,TAHAN,C4→P4,mu,-0.07233312798236041,0.17057020334724773,101
P03,penari,TAHAN,C4→P4,beta,0.07697122624103453,0.24121721801336035,101
P04,penari,TURUN,F3→C3,mu,-0.006053624910229233,0.09781133039810697,62
P04,penari,TURUN,F3→C3,beta,-0.10323197780221663,0.16988410604895826,62
P04,penari,TURUN,C3→P3,mu,-0.0018385307043228393,0.26362621622428734,62
P04,penari,TURUN,C3→P3,beta,0.11202456343004003,0.30408239662957054,62
P04,penari,TURUN,F4→C4,mu,0.01059773971347544,0.16701491256926168,62
P04,penari,TURUN,F4→C4,beta,-0.04680773323661077,0.22054103157711874,62
P04,penari,TURUN,C4→P4,mu,-0.07200524239873111,0.18933425946206767,62
P04,penari,TURUN,C4→P4,beta,-0.004641952039280573,0.2771281049842866,62
P04,penari,TAHAN,F3→C3,mu,-0.007381003597430283,0.23552842826314313,148
P04,penari,TAHAN,F3→C3,beta,-0.0007317236167870087,0.277803707044919,148
P04,penari,TAHAN,C3→P3,mu,-0.009871121319372778,0.1205723435742346,148
P04,penari,TAHAN,C3→P3,beta,0.008555514464066792,0.11339763324314137,148
P04,penari,TAHAN,F4→C4,mu,0.08449436867292323,0.4062278236838002,148
P04,penari,TAHAN,F4→C4,beta,-0.08774789830116722,0.23621161457910622,148
P04,penari,TAHAN,C4→P4,mu,0.05581714611539614,0.1979059488816459,148
P04,penari,TAHAN,C4→P4,beta,-0.42246237659521907,0.3651637915228262,148
P05,penari,TURUN,F3→C3,mu,-0.033632995422725395,0.27290838935624817,68
P05,penari,TURUN,F3→C3,beta,0.10728443032694192,0.09378092639436776,68
P05,penari,TURUN,C3→P3,mu,0.01971249137736472,0.28292510103785934,68
P05,penari,TURUN,C3→P3,beta,0.07442017516242994,0.16801605499714445,68
P05,penari,TURUN,F4→C4,mu,-0.023622116789928496,0.15438239050155816,68
P05,penari,TURUN,F4→C4,beta,0.03609719095735174,0.2560555144424079,68
P05,penari,TURUN,C4→P4,mu,-0.026985519431692598,0.14151096963968363,68
P05,penari,TURUN,C4→P4,beta,-0.020157596269945028,0.14143363063808914,68
P05,penari,TAHAN,F3→C3,mu,-0.037615910177248794,0.26426935346323754,102
P05,penari,TAHAN,F3→C3,beta,-0.05523129628615735,0.16725518725123842,102
P05,penari,TAHAN,C3→P3,mu,0.02081193734004324,0.11850721747922653,102
P05,penari,TAHAN,C3→P3,beta,-0.013711823896886646,0.15085138897967973,102
P05,penari,TAHAN,F4→C4,mu,0.16120198529764265,0.34461358112127666,102
P05,penari,TAHAN,F4→C4,beta,-0.020488743826058496,0.21296516782495695,102
P05,penari,TAHAN,C4→P4,mu,0.04279769073014979,0.11311606649473283,102
P05,penari,TAHAN,C4→P4,beta,-0.06145449639276596,0.3379691487729188,102
P06,penari,TURUN,F3→C3,mu,0.07612921829897829,0.21380894932556474,42
P06,penari,TURUN,F3→C3,beta,-0.0002021481476675996,0.1653639738189559,42
P06,penari,TURUN,C3→P3,mu,0.2184970712441605,0.3693977358190868,42
P06,penari,TURUN,C3→P3,beta,-0.013835721217866949,0.5761127712285108,42
P06,penari,TURUN,F4→C4,mu,-0.044207338013447374,0.14598612489453452,42
P06,penari,TURUN,F4→C4,beta,-0.10346340126738912,0.2873692645788513,42
P06,penari,TURUN,C4→P4,mu,0.052643200651670594,0.12284205180231837,42
P06,penari,TURUN,C4→P4,beta,0.027340491700084568,0.189826009183777,42
P06,penari,TAHAN,F3→C3,mu,-0.0014450962965050253,0.3912766097313263,98
P06,penari,TAHAN,F3→C3,beta,0.02476467104443643,0.35865432466934216,98
P06,penari,TAHAN,C3→P3,mu,0.014604497234641784,0.3655020477501121,98
P06,penari,TAHAN,C3→P3,beta,-0.06044025026352738,0.5479173696756781,98
P06,penari,TAHAN,F4→C4,mu,-0.042457255040654424,0.2678008801067427,98
P06,penari,TAHAN,F4→C4,beta,0.1445610356602603,0.4651378922784272,98
P06,penari,TAHAN,C4→P4,mu,0.029582173213667327,0.0701532593617061,98
P06,penari,TAHAN,C4→P4,beta,-0.10528971261751004,0.2934762411239586,98
P07,penari,TURUN,F3→C3,mu,0.024520932185247455,0.26397090918475036,66
P07,penari,TURUN,F3→C3,beta,0.0821092375795426,0.09788820573824047,66
P07,penari,TURUN,C3→P3,mu,-0.09791053137754477,0.3058284498056994,66
P07,penari,TURUN,C3→P3,beta,-0.061191787725590426,0.06575286860844053,66
P07,penari,TURUN,F4→C4,mu,0.06525490927503373,0.1823196891372669,66
P07,penari,TURUN,F4→C4,beta,-0.021911567647527677,0.3502706036403068,66
P07,penari,TURUN,C4→P4,mu,-0.06403222023893947,0.3919927888315722,66
P07,penari,TURUN,C4→P4,beta,0.09736328065277666,0.3456013242728731,66
P07,penari,TAHAN,F3→C3,mu,-0.012235489851675285,0.14130920462283242,105
P07,penari,TAHAN,F3→C3,beta,0.018000722255479003,0.33766060908324985,105
P07,penari,TAHAN,C3→P3,mu,0.03307088708298776,0.1483529691010101,105
P07,penari,TAHAN,C3→P3,beta,0.106905209841948,0.17254381327211082,105
P07,penari,TAHAN,F4→C4,mu,0.014084411887405852,0.15937046267556015,105
P07,penari,TAHAN,F4→C4,beta,-0.0734729290382823,0.34512215748565656,105
P07,penari,TAHAN,C4→P4,mu,-0.07879146483676278,0.2325813922683296,105
P07,penari,TAHAN,C4→P4,beta,0.05293320239110129,0.2483702251827896,105
P10,non-penari,TURUN,F3→C3,mu,-0.03340202098054755,0.27929854220315636,47
P10,non-penari,TURUN,F3→C3,beta,0.08562468851037688,0.24924616395079474,47
P10,non-penari,TURUN,C3→P3,mu,-0.015816155246961568,0.24251860109008816,47
P10,non-penari,TURUN,C3→P3,beta,-0.10943427104859242,0.3218442664070569,47
P10,non-penari,TURUN,F4→C4,mu,-0.07352205589043027,0.30009126876076425,47
P10,non-penari,TURUN,F4→C4,beta,-0.023921073840269293,0.22486473791951894,47
P10,non-penari,TURUN,C4→P4,mu,0.014301096999517081,0.27815768715804406,47
P10,non-penari,TURUN,C4→P4,beta,0.019472215828198736,0.22624284340083045,47
P10,non-penari,TAHAN,F3→C3,mu,-0.015915895418495484,0.07607726252254045,79
P10,non-penari,TAHAN,F3→C3,beta,0.07611798033428471,0.11975877448867107,79
P10,non-penari,TAHAN,C3→P3,mu,-0.08944259206130055,0.17520852472942125,79
P10,non-penari,TAHAN,C3→P3,beta,0.03415007604099163,0.1957708820149502,79
P10,non-penari,TAHAN,F4→C4,mu,0.015254553018601237,0.10731710420066694,79
P10,non-penari,TAHAN,F4→C4,beta,-0.008867520109426284,0.11138935693747744,79
P10,non-penari,TAHAN,C4→P4,mu,0.00473362144594693,0.06711250768226634,79
P10,non-penari,TAHAN,C4→P4,beta,-0.0002776287055919306,0.07134946825397599,79
P36,non-penari,TURUN,F3→C3,mu,-0.02154473141554063,0.10352807678963419,83
P36,non-penari,TURUN,F3→C3,beta,-0.030314094537923914,0.277395044544377,83
P36,non-penari,TURUN,C3→P3,mu,-0.03119851122374034,0.24214522162344862,83
P36,non-penari,TURUN,C3→P3,beta,-0.0620900056109543,0.18353988497401758,83
P36,non-penari,TURUN,F4→C4,mu,-0.1473292289815921,0.3156059117733876,83
P36,non-penari,TURUN,F4→C4,beta,0.021199043789108737,0.19753875377227517,83
P36,non-penari,TURUN,C4→P4,mu,0.1535349592711854,0.29275018564880523,83
P36,non-penari,TURUN,C4→P4,beta,0.05731061874306036,0.22252382400834658,83
P36,non-penari,TAHAN,F3→C3,mu,-0.0858715801227157,0.41644408343184436,86
P36,non-penari,TAHAN,F3→C3,beta,-0.2572607949287106,0.34572672734389703,86
P36,non-penari,TAHAN,C3→P3,mu,-0.017754154416386114,0.2450005348101917,86
P36,non-penari,TAHAN,C3→P3,beta,0.05134919656193815,0.3292704759921938,86
P36,non-penari,TAHAN,F4→C4,mu,-0.08120171916485419,0.271059972875587,86
P36,non-penari,TAHAN,F4→C4,beta,0.01416183312194319,0.37080029488138516,86
P36,non-penari,TAHAN,C4→P4,mu,0.024526126984414597,0.14740298513664565,86
P36,non-penari,TAHAN,C4→P4,beta,0.03701965511552878,0.2605514371878863,86
P37,non-penari,TURUN,F3→C3,mu,0.10638339579994091,0.29315076944106794,24
P37,non-penari,TURUN,F3→C3,beta,0.7283021336771937,0.7084060520588203,24
P37,non-penari,TURUN,C3→P3,mu,0.04608375534117266,0.15903837201622595,24
P37,non-penari,TURUN,C3→P3,beta,0.27142700568785627,0.3202520614563333,24
P37,non-penari,TURUN,F4→C4,mu,-0.0020568270925436266,0.11433207270179685,24
P37,non-penari,TURUN,F4→C4,beta,-0.24483531623633326,0.45951496530549285,24
P37,non-penari,TURUN,C4→P4,mu,0.14753313368417034,0.5895824709744807,24
P37,non-penari,TURUN,C4→P4,beta,0.20587923593491167,0.46166374130523397,24
P37,non-penari,TAHAN,F3→C3,mu,-0.023284767512996005,0.10985206862461352,108
P37,non-penari,TAHAN,F3→C3,beta,0.04718802395405692,0.16847994281066175,108
P37,non-penari,TAHAN,C3→P3,mu,0.028854120325088446,0.6142818513362823,108
P37,non-penari,TAHAN,C3→P3,beta,-0.06450449381849588,0.16727413199515942,108
P37,non-penari,TAHAN,F4→C4,mu,0.013008530825518724,0.19302927001301767,108
P37,non-penari,TAHAN,F4→C4,beta,0.08426102219141536,0.16963350229159155,108
P37,non-penari,TAHAN,C4→P4,mu,-0.04497440869644857,0.08213968671796,108
P37,non-penari,TAHAN,C4→P4,beta,-0.06870863928039528,0.2718756578639661,108
P38,non-penari,TURUN,F3→C3,mu,0.015036325436217255,0.12733036519606133,74
P38,non-penari,TURUN,F3→C3,beta,-0.01720601333247677,0.254755411460215,74
P38,non-penari,TURUN,C3→P3,mu,0.09999521242972828,0.40526600857503753,74
P38,non-penari,TURUN,C3→P3,beta,0.11778118550008634,0.27544775887292344,74
P38,non-penari,TURUN,F4→C4,mu,0.10608336737318452,0.24779968899879948,74
P38,non-penari,TURUN,F4→C4,beta,-0.08709144781878077,0.16213236954899915,74
P38,non-penari,TURUN,C4→P4,mu,-0.07516128632969918,0.24473344287975296,74
P38,non-penari,TURUN,C4→P4,beta,0.1282879499795142,0.2763254861227821,74
P38,non-penari,TAHAN,F3→C3,mu,0.13930741625914145,0.21774242334374247,54
P38,non-penari,TAHAN,F3→C3,beta,-0.027228767952910057,0.3187464861190754,54
P38,non-penari,TAHAN,C3→P3,mu,0.07999858162293537,0.26695336658789703,54
P38,non-penari,TAHAN,C3→P3,beta,-0.035960737795261016,0.35382248549225526,54
P38,non-penari,TAHAN,F4→C4,mu,0.06004048126558785,0.4066713097173523,54
P38,non-penari,TAHAN,F4→C4,beta,-0.025792020031801696,0.44774409832315293,54
P38,non-penari,TAHAN,C4→P4,mu,0.049257873574663893,0.2346447206132118,54
P38,non-penari,TAHAN,C4→P4,beta,-0.01696229318281472,0.19926446180476148,54
