jenis,fase,area,ukuran,n_penari,n_nonpenari,mean_penari,mean_nonpenari,hedges_g,p,artefak_rawan,p_fdr
EEG,TAHAN,sentral,offset_change,17,11,2.846442019824817,7.484004175922968,-0.7806111797594278,0.04717899328932281,False,0.4496366352783517
EEG,TURUN,sentral,exponent_change,17,11,0.06801505192313083,0.3350235035532321,-0.7436587720554662,0.04755772103905643,False,0.4496366352783517
EEG,TURUN,frontopolar,offset_change,17,11,7.916017944003643,12.952262499576262,-0.7419470903005126,0.050846750349878324,True,0.45570379715131115
EEG,TAHAN,parietal,offset_change,17,11,3.2687557959520874,7.805412264927721,-0.7868817801153577,0.052581207363612825,False,0.45570379715131115
EEG,TAHAN,parietal,mu_periodic_db,17,11,0.5484824896291147,1.6783194775523618,-0.7768710433707191,0.05586403649153635,False,0.4647887836095824
EEG,TURUN,parietal,theta_periodic_db,17,11,0.13191725344193325,0.7406433402033265,-0.7356525235259,0.06254742896589396,False,0.4799074818003962
EEG,TAHAN,frontopolar,exponent_change,17,11,0.07373745729179226,0.30303718713497907,-0.7366813875035925,0.06372934784903932,True,0.4799074818003962
EEG,TAHAN,frontotemporal,theta_periodic_db,17,11,-0.09611837146965543,1.019096426117288,-0.8004663005672699,0.06460293024236102,True,0.4799074818003962
EEG,TURUN,oksipital,offset_change,17,11,8.39572053838408,12.844898020401414,-0.7267269059017856,0.06735057829157183,False,0.4830662167119635
EEG,TAHAN,frontotemporal,exponent_change,17,11,0.09945228339243387,0.3159061872571342,-0.6989258003868855,0.076330622347061,True,0.5013241438993725
EEG,PRA,frontotemporal,beta_periodic_db,17,11,0.41705978070975336,0.13956006412801847,0.6541459683831327,0.0768656179276385,True,0.5013241438993725
EEG,PRA,temporo-posterior,beta_periodic_db,17,11,0.4594332352646337,0.07913865276401327,0.7248842591327618,0.07842726068095317,False,0.5013241438993725
EEG,POST,frontotemporal,exponent_change,17,11,0.1557288026751479,0.34432832354402004,-0.655764514130293,0.07953700359941968,True,0.5013241438993725
