prediktor,sampel,outcome,n,slope,se,beta_std,p,slope_usia,p_usia,r_prediktor_usia,vif,r2,p_fdr,is_simulated
proporsi_hidup_menari,semua,offset_central_TAHAN,38,-4.353581924917366,2.5419491100096914,-0.2747164104664272,0.08676878177694589,0.07012773915943186,0.1534033991149352,0.011201158575426225,1.0001254816971126,0.12071667874866154,0.18006397414251046,False
proporsi_hidup_menari,semua,mu_periodic_central_TURUN,38,-0.4140745761410801,0.573366389176973,-0.12843217469849114,0.4701829203470327,-0.020166471086293568,0.05797329706156665,0.011201158575426225,1.0001254816971126,0.11043075524314794,0.4701829203470327,False
proporsi_hidup_menari,semua,mu_periodic_posterior_TAHAN,38,-0.8070028111401467,0.6043755032164131,-0.2276063145676763,0.18178889609148174,0.0036829943858116354,0.7762241684596461,0.011201158575426225,1.0001254816971126,0.05411272966735503,0.21208704544006204,False
proporsi_hidup_menari,penari,cv_tahan,23,0.006462077892248785,0.19146142782175074,0.005894562408271667,0.9730754465963772,0.0021399304814174523,0.2906994159530111,-0.1366332342828039,1.0190237889922293,0.07381724245486987,0.9730754465963772,False
proporsi_hidup_menari,penari,dur_naik_sec,23,-0.24883808390159023,0.8320312075635385,-0.058142414249409496,0.7648843335075057,-0.0003228844129973996,0.9702449827087621,-0.1366332342828039,1.0190237889922293,0.0033241141989786005,0.9730754465963772,False
proporsi_hidup_menari,penari,dur_turun_sec,23,0.2460741529317274,0.46263865941297144,0.1303514479612907,0.594800272752073,0.005076971427286666,0.15428476634859403,-0.1366332342828039,1.0190237889922293,0.1445110556195376,0.9730754465963772,False
proporsi_hidup_menari,penari,offset_central_TURUN,23,-6.606181883671958,10.029716896731069,-0.14661433879752928,0.5101135767527349,0.014107944308015164,0.8501148244497582,-0.1366332342828039,1.0190237889922293,0.025156202570168484,0.9730754465963772,False
proporsi_hidup_menari,penari,offset_central_TAHAN,23,-0.9465536053755825,13.284813560721366,-0.026697388279592112,0.9431981508860605,0.057270925543913755,0.5230535688035405,-0.1366332342828039,1.0190237889922293,0.053183523867259774,0.9730754465963772,False
proporsi_hidup_menari,penari,mu_periodic_central_TURUN,23,0.6026719177036015,2.2833719690146954,0.07525308773051496,0.7918265845378021,-0.01641988942057728,0.26636801522036224,-0.1366332342828039,1.0190237889922293,0.0934313011345641,0.9730754465963772,False
proporsi_hidup_menari,penari,mu_periodic_posterior_TAHAN,23,-0.21371757565893004,1.7233479668090474,-0.022664245084305052,0.9013049708686427,0.0035131053178925073,0.8207298235688871,-0.1366332342828039,1.0190237889922293,0.0035393829207365224,0.9730754465963772,False
onset_age,penari,cv_tahan,23,-0.0010617632791954925,0.01197971614071727,-0.0213339575852983,0.9293758965084664,0.0022014569616726704,0.2772602747002183,0.404911690992022,1.1961056868129185,0.07416366157698384,0.9293758965084664,False
onset_age,penari,dur_naik_sec,23,-0.022582765768513743,0.020238550153210848,-0.11622985258106242,0.2644952407522255,0.0013638881054334512,0.8554826118717599,0.404911690992022,1.1961056868129185,0.011301152982714724,0.6008007444153749,False
onset_age,penari,dur_turun_sec,23,-0.011305932218829244,0.014929538415486634,-0.13192301945213863,0.4488784647111931,0.005558584380332682,0.0241957677127795,0.404911690992022,1.1961056868129185,0.14238705254441264,0.6008007444153749,False
onset_age,penari,offset_central_TURUN,23,0.4318964046363848,0.6633178651417262,0.21113967692578536,0.5149720666417499,-0.007025402775526455,0.9231356666681608,0.404911690992022,1.1961056868129185,0.041332658113724,0.6008007444153749,False
onset_age,penari,offset_central_TAHAN,23,-0.38643980876355777,0.5554582846414274,-0.24008762017506552,0.4866082903027905,0.08289326815707442,0.27101057327365585,0.404911690992022,1.1961056868129185,0.1006755277050122,0.6008007444153749,False
onset_age,penari,mu_periodic_central_TURUN,23,0.051935639818686,0.07065268750329962,0.1428476827152639,0.4622885131673392,-0.02032887078127965,0.1548864499649931,0.404911690992022,1.1961056868129185,0.10493390919710666,0.6008007444153749,False
onset_age,penari,mu_periodic_posterior_TAHAN,23,-0.05031952464172807,0.07694635823326494,-0.11754438635561817,0.5131402205736317,0.0069380317010396455,0.6118501214211998,0.404911690992022,1.1961056868129185,0.014586693975994769,0.6008007444153749,False
