jenis,fase,area,ukuran,n_penari,n_nonpenari,mean_penari,mean_nonpenari,hedges_g,p,artefak_rawan,p_fdr
EEG,POST,temporo-posterior,beta_periodic_db,23,15,0.28753996836999784,-0.031701677486319385,0.4660486495782227,0.17057021106164164,False,0.6876506890246256
EEG,POST,oksipital,exponent_change,23,15,0.28834803765075306,0.43749923693806847,-0.4294565604565518,0.17163812470609013,False,0.6876506890246256
EEG,TAHAN,frontopolar,theta_periodic_db,23,15,0.13112564778056882,0.9249932634032544,-0.4625732290496132,0.1740690401863215,True,0.6876506890246256
EEG,POST,temporo-posterior,offset_change,23,15,9.722580092942096,12.653691782255647,-0.4434648518755353,0.17445386185802814,False,0.6876506890246256
EEG,POST,sentral,exponent_change,23,15,0.248180133126697,0.38623461328507896,-0.4455678285546224,0.17502391311601054,False,0.6876506890246256
EEG,POST,frontal,theta_periodic_db,23,15,1.0249185859074383,1.774850369451575,-0.45100042072362884,0.17731351655680078,False,0.6876506890246256
EEG,TAHAN,oksipital,theta_periodic_db,23,15,-0.06205438441911499,0.40173963208656693,-0.42208961566428216,0.17734205685534693,False,0.6876506890246256
EEG,TAHAN,frontopolar,mu_periodic_db,23,15,0.5623273719931208,1.1828525903889242,-0.44945614093417197,0.17840967151234552,True,0.6876506890246256
EEG,PRA,temporal,exponent_change,23,15,0.14968906658745326,0.31671611907180514,-0.46208257099772326,0.1789726890713656,True,0.6876506890246256
EEG,NAIK,oksipital,offset_change,23,15,9.318320618602831,6.782510653745349,0.4335781989166069,0.1792231245169766,False,0.6876506890246256
EEG,PRA,sentral,exponent_change,23,15,0.20561256377198892,0.33767218882763345,-0.46401230654182957,0.18112649151748436,False,0.6876506890246256
EEG,TAHAN,frontopolar,beta_periodic_db,23,15,0.19303388072428498,0.3713956816639763,-0.42598817326033955,0.18724855146131802,True,0.6876506890246256
EEG,NAIK,temporo-posterior,offset_change,23,15,8.428890961033977,5.684762253989541,0.4126023356788747,0.19076817259529175,False,0.6876506890246256
EEG,NAIK,temporal,offset_change,23,15,8.279173899348834,5.5261848792106045,0.42928232828688695,0.1930964310737521,True,0.6876506890246256
EEG,PRA,oksipital,exponent_change,23,15,0.2525495525581019,0.405570364757163,-0.4287482988128959,0.19378257737066423,False,0.6876506890246256
EEG,PRA,parietal,theta_periodic_db,23,15,0.8701731536405432,1.355554271022302,-0.41913398963910564,0.20193521750949803,False,0.6876506890246256
EEG,TURUN,frontopolar,beta_periodic_db,23,15,0.36937221556763833,0.5792961791509247,-0.4161538096034135,0.20456960355290044,True,0.6876506890246256
EEG,TAHAN,oksipital,offset_change,23,15,5.618432811841062,8.03462310237141,-0.4233643455367755,0.20493883062880197,False,0.6876506890246256
EEG,TURUN,temporo-posterior,mu_periodic_db,23,15,0.8132521398161535,1.3432028472491389,-0.4274088597890737,0.20507196372081535,False,0.6876506890246256
EEG,NAIK,frontal,offset_change,23,15,7.789248118143051,4.990793796688778,0.3998784798442645,0.21358430024219854,False,0.6876506890246256
EEG,POST,frontotemporal,beta_periodic_db,23,15,0.27637496882184825,-0.005294119432681218,0.4315466909338063,0.21795233978663284,True,0.6876506890246256
EEG,TURUN,temporal,beta_periodic_db,23,15,0.43248866159816,0.10904684686845316,0.40673075210821635,0.21954810059127514,True,0.6876506890246256
EEG,TURUN,oksipital,mu_periodic_db,23,15,0.4279423045080909,0.973661100558473,-0.39277539633868463,0.22146092417930424,False,0.6876506890246256
EEG,PRA,temporal,mu_periodic_db,23,15,0.8627620612078778,1.4399862506360483,-0.39632900714481795,0.2222002869772523,True,0.6876506890246256
EEG,PRA,frontopolar,theta_periodic_db,23,15,0.7896092290047526,1.2840646591175315,-0.40675359020187096,0.22285298953383928,True,0.6876506890246256
EEG,NAIK,frontal,beta_periodic_db,23,15,0.3249599451241187,0.12883168400227618,0.38559118873449133,0.22607791969274646,False,0.6876506890246256
EEG,TAHAN,oksipital,mu_periodic_db,23,15,0.2414451009668091,0.8793841050790436,-0.3795395678669541,0.22864161029129892,False,0.6876506890246256
EEG,TURUN,oksipital,theta_periodic_db,23,15,0.47014568115694544,1.0574902407896996,-0.3885582754531962,0.23142090496021053,False,0.6876506890246256
EEG,PRA,frontal,theta_periodic_db,23,15,0.6996638524286022,1.2480510804939062,-0.40104267767375307,0.23664148039343053,False,0.6881293437840557
EEG,NAIK,temporo-posterior,beta_periodic_db,23,15,0.5728487504022987,0.26740578493569633,0.40167506942516484,0.23922840072470247,False,0.6881293437840557
EEG,TURUN,temporo-posterior,theta_periodic_db,23,15,0.7357644105539917,1.2065662835542423,-0.3929714696509405,0.243120648979326,False,0.6881293437840557
EEG,NAIK,frontopolar,exponent_change,23,15,0.3441011779712047,0.18273919913993858,0.38058225240966187,0.24481524730778903,True,0.6881293437840557
EEG,TURUN,parietal,offset_change,23,15,8.717426019998351,11.270794651315672,-0.37561685005512874,0.24940708399577752,False,0.6916889796149563
EEG,TURUN,frontopolar,theta_periodic_db,23,15,0.5007330168999108,0.920757036586758,-0.37633713929084145,0.25834874215923487,True,0.7010519383772884
EEG,PRA,frontotemporal,exponent_change,23,15,0.17939956906157328,0.2637648985957665,-0.3819880551267873,0.2595240348800539,True,0.7010519383772884
EEG,NAIK,sentral,theta_periodic_db,23,15,1.4123204626515817,0.9446177984739531,0.3439996651023985,0.26706077044343773,False,0.7080860131235276
EEG,NAIK,frontotemporal,beta_periodic_db,23,15,0.41838853588504227,0.16348887495245362,0.37434208368734345,0.26893651459980134,True,0.7080860131235276
EEG,TAHAN,frontal,offset_change,23,15,3.4982824080735004,5.7694892276169485,-0.3536141317072499,0.27339179720051066,False,0.7108186727213277
EEG,TURUN,parietal,theta_periodic_db,23,15,0.5235725112909343,0.9585230451751358,-0.35566539975142303,0.2771334409040849,False,0.7116513050376502
EEG,POST,oksipital,mu_periodic_db,23,15,0.8360208904602433,1.509278515303455,-0.3493147468734481,0.2921635356043405,False,0.7177596394203107
EEG,POST,parietal,exponent_change,23,15,0.27660104286879755,0.3881976310979479,-0.3373211328915315,0.2962426467188357,False,0.7177596394203107
EEG,TAHAN,frontopolar,offset_change,23,15,4.590858447686246,6.522942702113721,-0.3306741298725654,0.30119986249133684,True,0.7177596394203107
EEG,POST,parietal,theta_periodic_db,23,15,1.3210596754399477,1.7494306856172277,-0.34295450141436823,0.30409854142199594,False,0.7177596394203107
EEG,TAHAN,sentral,beta_periodic_db,23,15,0.1799979213851902,0.3791603102025192,-0.3402480938521073,0.3049633731910498,False,0.7177596394203107
EEG,TURUN,sentral,mu_periodic_db,23,15,0.5317965107841208,0.9522375733705922,-0.3367352064265973,0.30499969504054536,False,0.7177596394203107
EEG,PRA,temporo-posterior,mu_periodic_db,23,15,0.6950708447362947,1.132206812665575,-0.3331158619572331,0.3055676443250089,False,0.7177596394203107
EEG,POST,temporal,exponent_change,23,15,0.19896282893997827,0.3016334761990231,-0.33495055367653404,0.3071183072519599,True,0.7177596394203107
EEG,TAHAN,sentral,mu_periodic_db,23,15,0.41635349912492453,0.9996737182457627,-0.3303414486515917,0.3141870294237611,False,0.7201468150325809
EEG,PRA,parietal,offset_change,23,15,7.869932284481741,10.025511538062885,-0.33215078471452064,0.32020383312240197,False,0.7201468150325809
EEG,NAIK,frontotemporal,offset_change,23,15,7.68569209957039,5.6212608435843405,0.3259490717318885,0.3203469605332767,True,0.7201468150325809
EEG,POST,sentral,theta_periodic_db,23,15,1.1503682567975813,1.5733690620310476,-0.31226186177687254,0.3250060360138838,False,0.7201468150325809
EEG,TAHAN,parietal,beta_periodic_db,23,15,0.47579459867819407,0.2636339052448296,0.3299159154540372,0.33073186020652995,False,0.7201468150325809
EEG,TURUN,frontotemporal,offset_change,23,15,9.193869037633592,11.38847836193676,-0.31763536655802493,0.3316409966325224,True,0.7201468150325809
EEG,PRA,oksipital,theta_periodic_db,23,15,0.9496831749862378,1.22915787780778,-0.30956437866482006,0.3323754530919604,False,0.7201468150325809
EEG,TAHAN,oksipital,exponent_change,23,15,0.2640591527316731,0.3818251027877871,-0.3233229861562869,0.3449092011482501,False,0.7332318654299264
EEG,POST,frontotemporal,offset_change,23,15,9.033749933493427,11.151856457476333,-0.3116066193923032,0.34546501351986914,True,0.7332318654299264
EEG,TURUN,temporo-posterior,offset_change,23,15,9.806981711477572,11.952621556823438,-0.299374088517743,0.3512633100065407,False,0.7335994131936645
EEG,TAHAN,temporal,offset_change,23,15,4.8347111928261866,6.9277273209106305,-0.31407014048853255,0.35614156216044046,True,0.7335994131936645
EEG,POST,parietal,offset_change,23,15,10.264188881408245,12.29082422243805,-0.30853339740361196,0.35621894582961594,False,0.7335994131936645
